Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.50,25.00,1.38,%,166.50,1.03,%
1001,Large Samosas,,7.00,17.00,0.94,%,114.50,0.71,%
1002, Samosas - Vege,,7.50,15.00,0.83,%,112.50,0.70,%
1003,Mini Spring Rolls,,7.50,17.00,0.94,%,127.50,0.79,%
1004, Curry Samosas,,4.00,7.00,0.39,%,32.00,0.20,%
1005,Onion Bhajia,,6.50,63.00,3.49,%,370.50,2.29,%
1006,chicken sticks,,9.00,17.00,0.94,%,135.00,0.84,%
1008,chicken strips,,9.00,11.00,0.61,%,93.00,0.58,%
1009,Butter Chicken,,16.50,173.00,9.58,%,"2,928.50",18.13,%
1010,Madras Chicken,,16.00,11.00,0.61,%,180.00,1.11,%
1011,Chicken Korma,,16.50,26.00,1.44,%,438.00,2.71,%
1012,CH Tikka Masala,,16.00,20.00,1.11,%,334.00,2.07,%
1013,Chicken Vindaloo,,18.00,12.00,0.66,%,204.00,1.26,%
1014, Mustard Chicken,,16.00,21.00,1.16,%,362.00,2.24,%
1015,Chk In Coconut,,16.00,7.00,0.39,%,120.00,0.74,%
1016,Chicken Jalfrezi,,16.00,6.00,0.33,%,98.00,0.61,%
1017,Chefs SP Chicken.,,16.00,14.00,0.78,%,228.00,1.41,%
1018,Kukulmas Curry,,18.00,15.00,0.83,%,254.00,1.57,%
1019,Rogan Josh,,19.00,23.00,1.27,%,401.00,2.48,%
1020,Palak Gosht,,19.00,5.00,0.28,%,93.50,0.58,%
1021,Madras Lamb,,19.00,8.00,0.44,%,148.00,0.92,%
1022, Lamb Korma,,17.00,27.00,1.50,%,471.00,2.92,%
1023,Lamb Vindaloo,,19.00,6.00,0.33,%,106.00,0.66,%
1024,Chefs SP Lamb,,17.00,14.00,0.78,%,254.00,1.57,%
1025,Lamb Masala,,17.00,14.00,0.78,%,254.00,1.57,%
1026,Beef Vindaloo,,16.00,25.00,1.38,%,412.00,2.55,%
