Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,0.00,30.00,1.83,%,184.25,1.22,%
1001,Large Samosas,,7.50,11.00,0.67,%,78.00,0.52,%
1002, Samosas - Vege,,7.50,15.00,0.91,%,112.50,0.75,%
1003,Mini Spring Rolls,,7.50,9.00,0.55,%,67.50,0.45,%
1004, Curry Samosas,,6.50,7.00,0.43,%,42.50,0.28,%
1005,Onion Bhajia,,6.50,44.00,2.68,%,298.00,1.98,%
1006,chicken sticks,,8.50,27.00,1.65,%,244.50,1.62,%
1007,Tikka Chicken,,14.00,3.00,0.18,%,42.00,0.28,%
1008,chicken strips,,8.50,17.00,1.04,%,148.50,0.98,%
1009,Butter Chicken,,17.00,151.00,9.20,%,"2,589.50",17.17,%
1010,Madras Chicken,,16.50,8.00,0.49,%,136.00,0.90,%
1011,Chicken Korma,,16.50,25.00,1.52,%,424.25,2.81,%
1012,CH Tikka Masala,,16.50,28.00,1.71,%,472.00,3.13,%
1013,Chicken Vindaloo,,16.50,2.00,0.12,%,33.00,0.22,%
1014, Mustard Chicken,,16.50,15.00,0.91,%,259.50,1.72,%
1015,Chk In Coconut,,18.50,5.00,0.30,%,90.50,0.60,%
1016,Chicken Jalfrezi,,16.50,5.00,0.30,%,86.50,0.57,%
1017,Chefs SP Chicken.,,18.50,6.00,0.37,%,105.00,0.70,%
1018,Kukulmas Curry,,18.50,11.00,0.67,%,189.50,1.26,%
1019,Rogan Josh,,17.50,16.00,0.98,%,290.00,1.92,%
1020,Palak Gosht,,17.50,1.00,0.06,%,17.50,0.12,%
1021,Madras Lamb,,17.50,7.00,0.43,%,126.50,0.84,%
1022, Lamb Korma,,19.50,22.00,1.34,%,399.00,2.65,%
1023,Lamb Vindaloo,,17.50,4.00,0.24,%,72.00,0.48,%
1024,Chefs SP Lamb,,19.50,11.00,0.67,%,202.50,1.34,%
1025,Lamb Masala,,17.50,9.00,0.55,%,163.50,1.08,%
1026,Beef Vindaloo,,16.50,13.00,0.79,%,220.50,1.46,%
1027,Beef Jalfrezi,,18.50,4.00,0.24,%,70.00,0.46,%
1028,Madras Beef,,16.50,11.00,0.67,%,181.50,1.20,%
1029,Moghlai beef,,16.50,3.00,0.18,%,49.50,0.33,%
1030,Beef Korma,,18.50,6.00,0.37,%,103.00,0.68,%
1031,Chefs Sp beef,,16.50,11.00,0.67,%,191.50,1.27,%
1032,Chefs SP Prawn.,,18.00,1.00,0.06,%,18.00,0.12,%
1033,Mixed Seafood,,19.00,5.00,0.30,%,101.00,0.67,%
1034,K Praw N Coconut,,21.00,14.00,0.85,%,280.00,1.86,%
1035,Spicy King Prawn,,21.00,4.00,0.24,%,80.00,0.53,%
1038,Fish in Coconut,,21.00,1.00,0.06,%,21.00,0.14,%
1039,Chefs SP fish,,21.00,7.00,0.43,%,135.00,0.89,%
1040,Vege Korma,,14.50,9.00,0.55,%,133.50,0.88,%
1041, Potato Bhaji,,14.50,4.00,0.24,%,58.00,0.38,%
1042, Aloo Mattar,,15.50,4.00,0.24,%,60.00,0.40,%
1043, Channa Masala,,15.50,2.00,0.12,%,30.00,0.20,%
1044,Devilled Potato,,14.50,4.00,0.24,%,59.00,0.39,%
1045,Paneer Masala,,16.50,7.00,0.43,%,111.50,0.74,%
1046, Palak Paneer,,16.50,11.00,0.67,%,178.00,1.18,%
1047,Butter Paneer,,16.50,3.00,0.18,%,48.50,0.32,%
1048,Cabbage/Potato,,14.50,12.00,0.73,%,176.00,1.17,%
1049,Devilled Cabbage,,14.00,6.00,0.37,%,90.00,0.60,%
1050,Pumpkin,,14.50,4.00,0.24,%,60.00,0.40,%
1051, Dhal,,14.50,9.00,0.55,%,131.50,0.87,%
1053, Dhal Makhani,,15.00,5.00,0.30,%,76.00,0.50,%
1054,Green Bean Garlic,,14.50,2.00,0.12,%,30.00,0.20,%
1055, Potato Masala,,14.50,2.00,0.12,%,30.00,0.20,%
1056, Potato Curry,,14.50,1.00,0.06,%,14.50,0.10,%
1057,Vege Butter Chick,,15.50,11.00,0.67,%,171.50,1.14,%
1058,Veg Chick Vinloo,,15.50,3.00,0.18,%,46.50,0.31,%
1059,Vege St Fry Chick,,16.50,6.00,0.37,%,97.00,0.64,%
1060, Pepper Chicken,,19.00,2.00,0.12,%,35.50,0.24,%
1061, Pepper Beef,,19.00,2.00,0.12,%,38.00,0.25,%
1063, Pepper K Prawn,,19.00,1.00,0.06,%,19.00,0.13,%
1064, Yellow Rice Medium,,3.50,41.00,2.50,%,157.25,1.04,%
1065, White Rice Medium,,3.25,20.00,1.22,%,67.25,0.45,%
1066, Pulao,,8.00,3.00,0.18,%,24.00,0.16,%
1067, Chicken Biryani,,15.00,15.00,0.91,%,225.50,1.49,%
1068, Lamb Biryani,,15.00,14.00,0.85,%,214.00,1.42,%
1069, Beef Biryani,,15.00,4.00,0.24,%,61.50,0.41,%
1070,Special Fried Rice,,15.00,20.00,1.22,%,303.50,2.01,%
1071,Plain Naan,,4.00,92.00,5.61,%,377.00,2.50,%
1072, Garlic Naan,,4.50,186.00,11.33,%,851.25,5.64,%
1074, Chapattis,,1.50,21.00,1.28,%,31.50,0.21,%
1075, Parathas,,2.00,33.00,2.01,%,69.00,0.46,%
1076, Pappodums x 4,,2.75,66.00,4.02,%,184.25,1.22,%
1077,Raita,,2.50,20.00,1.22,%,50.00,0.33,%
1079, Mango Chutney,,2.50,4.00,0.24,%,10.00,0.07,%
1081, Almond Kulfi,,4.50,2.00,0.12,%,9.00,0.06,%
1082, Mango Kulfi,,4.50,4.00,0.24,%,18.00,0.12,%
1086,Sweet Mango Lassi,,6.50,19.00,1.16,%,117.50,0.78,%
1088, Falooda,,7.00,2.00,0.12,%,14.00,0.09,%
1089,Chili Naan,,4.50,10.00,0.61,%,47.00,0.31,%
1090,Yellow Rice Large,,4.50,81.00,4.94,%,389.25,2.58,%
1091, White Rice Large,,4.25,48.00,2.93,%,213.00,1.41,%
1093, Devilled Chicken,,16.50,2.00,0.12,%,33.00,0.22,%
1094, Devilled Beff,,16.50,4.00,0.24,%,71.00,0.47,%
1097,Cheese Nann,,5.00,30.00,1.83,%,150.50,1.00,%
1100,Egg plant curry,,18.00,4.00,0.24,%,69.50,0.46,%
1104,Chicken Palandi,,16.50,3.00,0.18,%,51.50,0.34,%
1105,Beef Kufta,,16.50,3.00,0.18,%,53.50,0.35,%
1106,Goan Fish Curry,,21.00,1.00,0.06,%,21.00,0.14,%
1107,Fried Noodles,,11.00,1.00,0.06,%,11.00,0.07,%
1108,Can drinks,,2.50,20.00,1.22,%,50.00,0.33,%
1110,1.25L drink,,4.25,1.00,0.06,%,4.25,0.03,%
1112,Sparking water,,6.00,1.00,0.06,%,6.00,0.04,%
1113,Vege Chk MASALA,,16.50,2.00,0.12,%,32.00,0.21,%
1114,Vege Chk JALFREZI,,15.50,2.00,0.12,%,32.00,0.21,%
1117,upgrade ONE SIZE,,1.50,2.00,0.12,%,3.00,0.02,%
1118,upgrade TWO SIZES,,2.75,1.00,0.06,%,2.75,0.02,%
1119,Cut Chilli,,1.50,1.00,0.06,%,1.50,0.01,%
1120,TEA Per Person,,4.50,1.00,0.06,%,4.50,0.03,%
1121,Cup Of Coffee,,4.50,1.00,0.06,%,4.50,0.03,%
1126,1000 Spic SFY Chicken,,19.00,5.00,0.30,%,87.50,0.58,%
