Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.75,22.00,1.33,%,151.00,1.04,%
1001,Large Samosas,,6.75,34.00,2.06,%,235.50,1.62,%
1002, Samosas - Vege,,7.50,7.00,0.42,%,52.50,0.36,%
1003,Mini Spring Rolls,,7.50,13.00,0.79,%,97.50,0.67,%
1004, Curry Samosas,,5.50,14.00,0.85,%,79.00,0.54,%
1005,Onion Bhajia,,6.50,50.00,3.03,%,342.00,2.35,%
1006,chicken sticks,,9.50,9.00,0.55,%,80.50,0.55,%
1007,Tikka Chicken,,14.00,3.00,0.18,%,44.00,0.30,%
1008,chicken strips,,8.50,11.00,0.67,%,98.50,0.68,%
1009,Butter Chicken,,17.00,125.00,7.58,%,"2,140.00",14.69,%
1010,Madras Chicken,,16.50,8.00,0.49,%,134.00,0.92,%
1011,Chicken Korma,,16.50,21.00,1.27,%,350.50,2.41,%
1012,CH Tikka Masala,,16.50,20.00,1.21,%,336.00,2.31,%
1013,Chicken Vindaloo,,18.50,2.00,0.12,%,37.00,0.25,%
1014, Mustard Chicken,,18.50,16.00,0.97,%,278.00,1.91,%
1015,Chk In Coconut,,16.50,10.00,0.61,%,173.00,1.19,%
1016,Chicken Jalfrezi,,18.50,4.00,0.24,%,70.00,0.48,%
1017,Chefs SP Chicken.,,18.50,4.00,0.24,%,70.00,0.48,%
1018,Kukulmas Curry,,16.50,6.00,0.36,%,99.00,0.68,%
1019,Rogan Josh,,17.50,25.00,1.52,%,445.50,3.06,%
1020,Palak Gosht,,17.50,2.00,0.12,%,35.00,0.24,%
1021,Madras Lamb,,17.50,8.00,0.49,%,140.00,0.96,%
1022, Lamb Korma,,17.50,16.00,0.97,%,288.00,1.98,%
1023,Lamb Vindaloo,,17.50,3.00,0.18,%,52.50,0.36,%
1024,Chefs SP Lamb,,17.50,11.00,0.67,%,198.50,1.36,%
1025,Lamb Masala,,17.50,8.00,0.49,%,140.00,0.96,%
1026,Beef Vindaloo,,16.50,18.00,1.09,%,307.00,2.11,%
1027,Beef Jalfrezi,,16.50,2.00,0.12,%,35.00,0.24,%
1028,Madras Beef,,18.50,7.00,0.42,%,103.00,0.71,%
1029,Moghlai beef,,16.50,3.00,0.18,%,51.50,0.35,%
1030,Beef Korma,,16.50,4.00,0.24,%,66.00,0.45,%
1031,Chefs Sp beef,,16.50,10.00,0.61,%,173.00,1.19,%
1032,Chefs SP Prawn.,,18.00,3.00,0.18,%,62.00,0.43,%
1033,Mixed Seafood,,21.00,4.00,0.24,%,78.50,0.54,%
1034,K Praw N Coconut,,19.00,7.00,0.42,%,139.00,0.95,%
1035,Spicy King Prawn,,21.00,6.00,0.36,%,118.00,0.81,%
1038,Fish in Coconut,,21.00,3.00,0.18,%,57.00,0.39,%
1039,Chefs SP fish,,18.00,2.00,0.12,%,36.00,0.25,%
1040,Vege Korma,,14.50,16.00,0.97,%,234.00,1.61,%
1041, Potato Bhaji,,15.50,2.00,0.12,%,30.00,0.21,%
1042, Aloo Mattar,,14.50,6.00,0.36,%,88.00,0.60,%
1043, Channa Masala,,14.50,2.00,0.12,%,29.00,0.20,%
1044,Devilled Potato,,14.50,4.00,0.24,%,58.00,0.40,%
1045,Paneer Masala,,15.50,4.00,0.24,%,62.00,0.43,%
1046, Palak Paneer,,16.00,11.00,0.67,%,177.50,1.22,%
1047,Butter Paneer,,15.50,9.00,0.55,%,143.50,0.99,%
1048,Cabbage/Potato,,16.50,6.00,0.36,%,91.00,0.62,%
1049,Devilled Cabbage,,16.00,2.00,0.12,%,30.00,0.21,%
1050,Pumpkin,,14.50,6.00,0.36,%,89.00,0.61,%
1051, Dhal,,14.50,9.00,0.55,%,133.50,0.92,%
1052,Parippu,,15.50,8.00,0.49,%,118.00,0.81,%
1053, Dhal Makhani,,15.50,2.00,0.12,%,31.00,0.21,%
1054,Green Bean Garlic,,14.50,4.00,0.24,%,60.00,0.41,%
1055, Potato Masala,,15.50,6.00,0.36,%,90.00,0.62,%
1056, Potato Curry,,14.50,4.00,0.24,%,58.00,0.40,%
1057,Vege Butter Chick,,15.50,10.00,0.61,%,155.00,1.06,%
1058,Veg Chick Vinloo,,15.50,4.00,0.24,%,62.00,0.43,%
1059,Vege St Fry Chick,,15.50,11.00,0.67,%,171.50,1.18,%
1062, Pepper Lamb,,17.50,2.00,0.12,%,37.00,0.25,%
1064, Yellow Rice Medium,,3.50,34.00,2.06,%,124.00,0.85,%
1065, White Rice Medium,,3.25,16.00,0.97,%,56.50,0.39,%
1066, Pulao,,9.00,4.00,0.24,%,34.00,0.23,%
1067, Chicken Biryani,,15.50,22.00,1.33,%,333.50,2.29,%
1068, Lamb Biryani,,15.00,13.00,0.79,%,198.00,1.36,%
1069, Beef Biryani,,15.00,8.00,0.49,%,120.50,0.83,%
1070,Special Fried Rice,,15.00,33.00,2.00,%,499.50,3.43,%
1071,Plain Naan,,4.50,101.00,6.13,%,401.00,2.75,%
1072, Garlic Naan,,4.50,192.00,11.65,%,872.25,5.99,%
1074, Chapattis,,1.50,15.00,0.91,%,22.50,0.15,%
1075, Parathas,,2.00,37.00,2.25,%,75.00,0.51,%
1076, Pappodums x 4,,2.75,74.00,4.49,%,207.25,1.42,%
1077,Raita,,2.50,31.00,1.88,%,77.50,0.53,%
1078, Achar,,2.50,2.00,0.12,%,5.50,0.04,%
1079, Mango Chutney,,2.50,8.00,0.49,%,20.00,0.14,%
1081, Almond Kulfi,,4.50,3.00,0.18,%,13.50,0.09,%
1082, Mango Kulfi,,4.50,4.00,0.24,%,17.00,0.12,%
1084,Ice Cream,,5.00,2.00,0.12,%,10.00,0.07,%
1085, Plain/Salted Lassi,,5.50,1.00,0.06,%,5.50,0.04,%
1086,Sweet Mango Lassi,,6.50,10.00,0.61,%,61.00,0.42,%
1087,Mango Nectar,,7.00,1.00,0.06,%,7.00,0.05,%
1088, Falooda,,7.00,4.00,0.24,%,28.00,0.19,%
1089,Chili Naan,,4.50,4.00,0.24,%,18.50,0.13,%
1090,Yellow Rice Large,,4.50,65.00,3.94,%,307.50,2.11,%
1091, White Rice Large,,4.25,43.00,2.61,%,188.00,1.29,%
1093, Devilled Chicken,,16.50,3.00,0.18,%,52.00,0.36,%
1097,Cheese Nann,,4.50,20.00,1.21,%,92.00,0.63,%
1098,Coconut Water 500ml,,5.00,2.00,0.12,%,10.00,0.07,%
1100,Egg plant curry,,18.00,6.00,0.36,%,98.00,0.67,%
1101,Ginger Beer,,4.00,1.00,0.06,%,4.00,0.03,%
1102,Cream Soda Glass Bt,,3.50,2.00,0.12,%,7.00,0.05,%
1103,Boiled Channa,,8.50,1.00,0.06,%,8.50,0.06,%
1104,Chicken Palandi,,18.50,3.00,0.18,%,55.50,0.38,%
1105,Beef Kufta,,18.50,1.00,0.06,%,18.50,0.13,%
1107,Fried Noodles,,11.00,6.00,0.36,%,66.00,0.45,%
1108,Can drinks,,2.50,25.00,1.52,%,62.50,0.43,%
1109,Glass Bottle 300ml,,3.50,2.00,0.12,%,7.00,0.05,%
1113,Vege Chk MASALA,,15.50,2.00,0.12,%,32.00,0.22,%
1115,Bottled Water,,2.00,3.00,0.18,%,6.00,0.04,%
1117,upgrade ONE SIZE,,1.50,6.00,0.36,%,9.00,0.06,%
1118,upgrade TWO SIZES,,2.75,5.00,0.30,%,13.75,0.09,%
1119,Cut Chilli,,1.50,2.00,0.12,%,3.00,0.02,%
1120,TEA Per Person,,4.50,1.00,0.06,%,4.50,0.03,%
1126,1000 Spic SFY Chicken,,16.50,3.00,0.18,%,49.50,0.34,%
1127, 1000 Spic SRY Beef,,19.00,2.00,0.12,%,35.50,0.24,%
1128, 1000 Spic Lamb,,19.50,1.00,0.06,%,19.50,0.13,%
1129,1000 Spic K Prawns,,21.00,3.00,0.18,%,59.00,0.41,%
1130,BYO Per Head,,1.50,32.00,1.94,%,48.50,0.33,%
1132,Goat Curry,,22.00,12.00,0.73,%,239.50,1.64,%
1135,Jeera Rice Med,,5.50,3.00,0.18,%,16.50,0.11,%
1136,Jeera Rice Large,,7.50,4.00,0.24,%,32.00,0.22,%
1137,Egg Paratha,,2.50,1.00,0.06,%,2.50,0.02,%
1138,Coconut Ice Cream,,6.00,5.00,0.30,%,30.00,0.21,%
1139,Butter Cashew Masala,,17.00,1.00,0.06,%,17.00,0.12,%
1140,Green Bean n Potato,,14.50,2.00,0.12,%,29.00,0.20,%
1141,Large Spring Rolls,,7.50,3.00,0.18,%,22.50,0.15,%
1142,Jungle Curry,,19.00,2.00,0.12,%,38.00,0.26,%
1144,Vege Briyni,,14.00,5.00,0.30,%,64.00,0.44,%
1145,Vege Fried Rice,,12.50,4.00,0.24,%,50.00,0.34,%
1146,Delivery,,6.00,1.00,0.06,%,6.00,0.04,%
1147,Chilli Chicken,,16.50,1.00,0.06,%,16.50,0.11,%
1149,Paper Carry Bag,,0.15,14.00,0.85,%,2.10,0.01,%
1150,take away containers,,0.25,2.00,0.12,%,0.65,0.00,%
1151,Reuserble Bag,,0.10,59.00,3.58,%,5.90,0.04,%
1152,Madras Fish,,21.00,1.00,0.06,%,21.00,0.14,%
1154,Paneer Jalfrez,,16.00,9.00,0.55,%,144.00,0.99,%
6014,With spinach,,1.00,3.00,0.18,%,3.00,0.02,%
6018,Extra Garlic,Per naan,0.50,2.00,0.12,%,1.00,0.01,%
6021,Extra Cashews,,2.00,2.00,0.12,%,4.00,0.03,%
6032,Extra Meat,,3.00,1.00,0.06,%,3.00,0.02,%
6033,With Chicken,,4.00,3.00,0.18,%,12.00,0.08,%
Total,"1,648.00","14,565.90",,,,,,,
