Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.50,21.00,1.11,%,140.00,0.81,%
1001,Large Samosas,,7.00,21.00,1.11,%,143.50,0.83,%
1002, Samosas - Vege,,7.50,21.00,1.11,%,157.50,0.92,%
1003,Mini Spring Rolls,,7.50,18.00,0.95,%,135.00,0.78,%
1004, Curry Samosas,,5.00,9.00,0.47,%,42.00,0.24,%
1005,Onion Bhajia,,6.50,52.00,2.74,%,306.00,1.78,%
1006,chicken sticks,,9.00,7.00,0.37,%,57.00,0.33,%
1008,chicken strips,,9.00,11.00,0.58,%,92.00,0.53,%
1009,Butter Chicken,,16.50,165.00,8.69,%,"2,794.50",16.25,%
1010,Madras Chicken,,16.00,22.00,1.16,%,366.25,2.13,%
1011,Chicken Korma,,16.50,23.00,1.21,%,390.25,2.27,%
1012,CH Tikka Masala,,16.00,29.00,1.53,%,484.00,2.81,%
1013,Chicken Vindaloo,,16.00,12.00,0.63,%,198.00,1.15,%
1014, Mustard Chicken,,18.00,32.00,1.69,%,548.00,3.19,%
1015,Chk In Coconut,,16.00,12.00,0.63,%,202.00,1.17,%
1016,Chicken Jalfrezi,,18.00,4.00,0.21,%,70.00,0.41,%
1017,Chefs SP Chicken.,,18.00,11.00,0.58,%,192.00,1.12,%
1018,Kukulmas Curry,,16.00,4.00,0.21,%,68.00,0.40,%
1019,Rogan Josh,,17.00,27.00,1.42,%,471.00,2.74,%
1020,Palak Gosht,,17.50,3.00,0.16,%,54.00,0.31,%
1021,Madras Lamb,,17.00,2.00,0.11,%,34.00,0.20,%
1022, Lamb Korma,,19.00,25.00,1.32,%,443.00,2.58,%
1023,Lamb Vindaloo,,17.00,5.00,0.26,%,87.00,0.51,%
1024,Chefs SP Lamb,,17.00,21.00,1.11,%,369.00,2.15,%
1025,Lamb Masala,,19.00,11.00,0.58,%,201.00,1.17,%
1026,Beef Vindaloo,,16.00,24.00,1.26,%,398.00,2.31,%
1027,Beef Jalfrezi,,18.00,8.00,0.42,%,136.00,0.79,%
1028,Madras Beef,,16.00,17.00,0.90,%,286.00,1.66,%
1029,Moghlai beef,,18.00,8.00,0.42,%,138.00,0.80,%
1030,Beef Korma,,16.00,24.00,1.26,%,406.00,2.36,%
1031,Chefs Sp beef,,16.00,15.00,0.79,%,250.00,1.45,%
1032,Chefs SP Prawn.,,18.00,7.00,0.37,%,132.00,0.77,%
1033,Mixed Seafood,,21.00,8.00,0.42,%,166.00,0.97,%
1034,K Praw N Coconut,,18.00,7.00,0.37,%,130.00,0.76,%
1035,Spicy King Prawn,,20.00,8.00,0.42,%,152.00,0.88,%
1036,Prawn Vindaloo,,18.00,1.00,0.05,%,18.00,0.10,%
1037,Madras Prawn,,20.00,2.00,0.11,%,38.00,0.22,%
1038,Fish in Coconut,,19.00,3.00,0.16,%,55.00,0.32,%
1039,Chefs SP fish,,18.00,5.00,0.26,%,96.00,0.56,%
1040,Vege Korma,,14.00,10.00,0.53,%,148.00,0.86,%
1041, Potato Bhaji,,15.00,4.00,0.21,%,58.00,0.34,%
1042, Aloo Mattar,,15.00,6.00,0.32,%,86.00,0.50,%
1043, Channa Masala,,14.00,2.00,0.11,%,29.00,0.17,%
1044,Devilled Potato,,14.00,3.00,0.16,%,43.00,0.25,%
1045,Paneer Masala,,16.00,3.00,0.16,%,46.00,0.27,%
1046, Palak Paneer,,15.50,17.00,0.90,%,265.50,1.54,%
1047,Butter Paneer,,15.00,7.00,0.37,%,109.00,0.63,%
1048,Cabbage/Potato,,15.00,10.00,0.53,%,147.00,0.85,%
1049,Devilled Cabbage,,14.00,3.00,0.16,%,47.00,0.27,%
1050,Pumpkin,,15.00,10.00,0.53,%,153.00,0.89,%
1051, Dhal,,14.00,13.00,0.68,%,187.00,1.09,%
1052,Parippu,,14.00,5.00,0.26,%,72.00,0.42,%
1053, Dhal Makhani,,15.00,2.00,0.11,%,30.00,0.17,%
1054,Green Bean Garlic,,15.00,11.00,0.58,%,160.00,0.93,%
1055, Potato Masala,,15.00,1.00,0.05,%,15.00,0.09,%
1056, Potato Curry,,15.00,7.00,0.37,%,100.00,0.58,%
1057,Vege Butter Chick,,15.00,7.00,0.37,%,106.00,0.62,%
1058,Veg Chick Vinloo,,15.00,4.00,0.21,%,62.00,0.36,%
1059,Vege St Fry Chick,,15.00,2.00,0.11,%,30.00,0.17,%
1060, Pepper Chicken,,16.00,1.00,0.05,%,16.00,0.09,%
1061, Pepper Beef,,18.00,3.00,0.16,%,50.00,0.29,%
1064, Yellow Rice Medium,,3.50,51.00,2.69,%,207.50,1.21,%
1065, White Rice Medium,,3.00,24.00,1.26,%,82.00,0.48,%
1066, Pulao,,8.50,12.00,0.63,%,91.50,0.53,%
1067, Chicken Biryani,,15.50,28.00,1.48,%,401.00,2.33,%
1068, Lamb Biryani,,14.00,11.00,0.58,%,161.50,0.94,%
1069, Beef Biryani,,14.00,1.00,0.05,%,14.00,0.08,%
1070,Special Fried Rice,,14.00,11.00,0.58,%,153.00,0.89,%
1071,Plain Naan,,4.00,132.00,6.95,%,528.00,3.07,%
1072, Garlic Naan,,4.50,236.00,12.43,%,"1,078.00",6.27,%
1074, Chapattis,,1.75,25.00,1.32,%,41.75,0.24,%
1075, Parathas,,2.50,28.00,1.48,%,68.00,0.40,%
1076, Pappodums x 4,,2.75,86.00,4.53,%,245.25,1.43,%
1077,Raita,,2.50,41.00,2.16,%,102.50,0.60,%
1078, Achar,,3.00,1.00,0.05,%,3.00,0.02,%
1079, Mango Chutney,,2.50,9.00,0.47,%,22.50,0.13,%
1080, Laccha,,7.00,1.00,0.05,%,7.00,0.04,%
1081, Almond Kulfi,,3.50,3.00,0.16,%,10.50,0.06,%
1082, Mango Kulfi,,3.50,3.00,0.16,%,10.50,0.06,%
1084,Ice Cream,,5.00,1.00,0.05,%,5.00,0.03,%
1085, Plain/Salted Lassi,,4.00,1.00,0.05,%,4.00,0.02,%
1086,Sweet Mango Lassi,,4.50,20.00,1.05,%,87.00,0.51,%
1087,Mango Nectar,,7.00,1.00,0.05,%,7.00,0.04,%
1089,Chili Naan,,4.75,6.00,0.32,%,28.50,0.17,%
1090,Yellow Rice Large,,4.50,89.00,4.69,%,431.50,2.51,%
1091, White Rice Large,,4.00,54.00,2.85,%,240.00,1.40,%
1093, Devilled Chicken,,18.00,1.00,0.05,%,18.00,0.10,%
1097,Cheese Nann,,4.75,1.00,0.05,%,4.75,0.03,%
1099,Ice,,1.50,1.00,0.05,%,1.50,0.01,%
1108,Can drinks,,2.50,26.00,1.37,%,65.00,0.38,%
1109,Glass Bottle 300ml,,3.50,9.00,0.47,%,31.50,0.18,%
1112,Sparking water,,4.00,2.00,0.11,%,8.00,0.05,%
1113,Vege Chk MASALA,,15.00,3.00,0.16,%,45.00,0.26,%
1115,Bottled Water,,2.00,2.00,0.11,%,4.00,0.02,%
1116,BYO,,1.50,10.00,0.53,%,15.00,0.09,%
1117,upgrade ONE SIZE,,1.50,13.00,0.68,%,28.00,0.16,%
1118,upgrade TWO SIZES,,2.75,6.00,0.32,%,16.50,0.10,%
1119,Cut Chilli,,1.50,5.00,0.26,%,7.50,0.04,%
1123, Devilled K Prawn,,18.00,1.00,0.05,%,18.00,0.10,%
1126,1000 Spic SFY Chicken,,16.00,4.00,0.21,%,66.00,0.38,%
1127, 1000 Spic SRY Beef,,16.00,5.00,0.26,%,82.00,0.48,%
1129,1000 Spic K Prawns,,20.00,1.00,0.05,%,20.00,0.12,%
1130,BYO Per Head,,18.00,81.00,4.27,%,147.00,0.85,%
1131, Buchet of Ice,,1.50,4.00,0.21,%,10.50,0.06,%
1132,Goat Curry,,22.00,8.00,0.42,%,172.00,1.00,%
6014,With spinach,,1.00,3.00,0.16,%,3.00,0.02,%
6021,Extra Cashews,,2.00,1.00,0.05,%,2.00,0.01,%
Total,"1,898.00","17,201.25",,,,,,,
