Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.75,27.00,1.37,%,188.10,1.09,%
1001,Large Samosas,,6.75,18.00,0.92,%,125.25,0.73,%
1002, Samosas - Vege,,7.50,22.00,1.12,%,165.00,0.96,%
1003,Mini Spring Rolls,,7.50,12.00,0.61,%,90.00,0.52,%
1004, Curry Samosas,,5.50,12.00,0.61,%,71.00,0.41,%
1005,Onion Bhajia,,7.50,53.00,2.69,%,366.50,2.13,%
1006,chicken sticks,,8.50,30.00,1.53,%,277.00,1.61,%
1007,Tikka Chicken,,14.00,4.00,0.20,%,58.00,0.34,%
1008,chicken strips,,8.50,11.00,0.56,%,98.50,0.57,%
1009,Butter Chicken,,17.00,149.00,7.57,%,"2,593.00",15.05,%
1010,Madras Chicken,,16.50,6.00,0.31,%,107.00,0.62,%
1011,Chicken Korma,,16.50,36.00,1.83,%,615.75,3.57,%
1012,CH Tikka Masala,,18.50,18.00,0.92,%,307.00,1.78,%
1013,Chicken Vindaloo,,16.50,7.00,0.36,%,117.25,0.68,%
1014, Mustard Chicken,,16.50,22.00,1.12,%,377.00,2.19,%
1015,Chk In Coconut,,16.50,7.00,0.36,%,123.50,0.72,%
1016,Chicken Jalfrezi,,18.50,6.00,0.31,%,111.00,0.64,%
1017,Chefs SP Chicken.,,16.50,6.00,0.31,%,102.00,0.59,%
1018,Kukulmas Curry,,16.50,6.00,0.31,%,107.00,0.62,%
1019,Rogan Josh,,17.50,22.00,1.12,%,403.00,2.34,%
1020,Palak Gosht,,17.50,6.00,0.31,%,109.00,0.63,%
1021,Madras Lamb,,19.50,13.00,0.66,%,235.50,1.37,%
1022, Lamb Korma,,19.50,24.00,1.22,%,436.00,2.53,%
1023,Lamb Vindaloo,,19.50,5.00,0.25,%,95.50,0.55,%
1024,Chefs SP Lamb,,17.50,13.00,0.66,%,239.50,1.39,%
1025,Lamb Masala,,17.50,15.00,0.76,%,282.00,1.64,%
1026,Beef Vindaloo,,18.50,19.00,0.97,%,331.50,1.92,%
1027,Beef Jalfrezi,,16.50,8.00,0.41,%,138.00,0.80,%
1028,Madras Beef,,16.50,13.00,0.66,%,222.50,1.29,%
