Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,7.00,11.00,0.71,%,77.75,0.58,%
1001,Large Samosas,,6.75,18.00,1.17,%,135.50,1.01,%
1002, Samosas - Vege,,7.50,17.00,1.10,%,127.50,0.95,%
1003,Mini Spring Rolls,,7.50,13.00,0.84,%,97.50,0.73,%
1004, Curry Samosas,,6.50,8.00,0.52,%,48.00,0.36,%
1005,Onion Bhajia,,7.50,35.00,2.27,%,243.50,1.82,%
1006,chicken sticks,,10.50,11.00,0.71,%,101.50,0.76,%
1007,Tikka Chicken,,14.00,4.00,0.26,%,56.00,0.42,%
1008,chicken strips,,12.50,6.00,0.39,%,67.00,0.50,%
1009,Butter Chicken,,17.00,108.00,6.99,%,"1,886.00",14.08,%
1010,Madras Chicken,,18.50,11.00,0.71,%,185.50,1.39,%
1011,Chicken Korma,,16.50,21.00,1.36,%,364.50,2.72,%
1012,CH Tikka Masala,,18.50,15.00,0.97,%,255.50,1.91,%
1013,Chicken Vindaloo,,16.50,4.00,0.26,%,66.00,0.49,%
1014, Mustard Chicken,,16.50,19.00,1.23,%,333.50,2.49,%
1015,Chk In Coconut,,16.50,5.00,0.32,%,88.50,0.66,%
1016,Chicken Jalfrezi,,16.50,2.00,0.13,%,33.00,0.25,%
1017,Chefs SP Chicken.,,16.50,8.00,0.52,%,136.00,1.02,%
1018,Kukulmas Curry,,18.50,7.00,0.45,%,121.50,0.91,%
1019,Rogan Josh,,20.50,17.00,1.10,%,312.50,2.33,%
1020,Palak Gosht,,17.50,4.00,0.26,%,76.00,0.57,%
1021,Madras Lamb,,17.50,9.00,0.58,%,163.50,1.22,%
1022, Lamb Korma,,20.50,19.00,1.23,%,365.50,2.73,%
1023,Lamb Vindaloo,,17.50,3.00,0.19,%,54.50,0.41,%
1024,Chefs SP Lamb,,20.50,5.00,0.32,%,90.50,0.68,%
1025,Lamb Masala,,20.50,7.00,0.45,%,131.50,0.98,%
1026,Beef Vindaloo,,18.50,5.00,0.32,%,84.50,0.63,%
1027,Beef Jalfrezi,,18.50,6.00,0.39,%,105.00,0.78,%
1028,Madras Beef,,16.50,8.00,0.52,%,138.00,1.03,%
1029,Moghlai beef,,18.50,3.00,0.19,%,51.50,0.38,%
1030,Beef Korma,,16.50,3.00,0.19,%,49.50,0.37,%
1031,Chefs Sp beef,,18.50,4.00,0.26,%,72.00,0.54,%
1032,Chefs SP Prawn.,,19.00,3.00,0.19,%,63.00,0.47,%
1034,K Praw N Coconut,,22.00,7.00,0.45,%,148.00,1.11,%
1035,Spicy King Prawn,,19.00,5.00,0.32,%,99.00,0.74,%
1036,Prawn Vindaloo,,21.00,1.00,0.06,%,21.00,0.16,%
1038,Fish in Coconut,,18.00,2.00,0.13,%,36.00,0.27,%
1039,Chefs SP fish,,18.00,3.00,0.19,%,54.00,0.40,%
1040,Vege Korma,,14.50,9.00,0.58,%,134.50,1.00,%
1041, Potato Bhaji,,15.50,2.00,0.13,%,31.00,0.23,%
1042, Aloo Mattar,,15.50,3.00,0.19,%,45.50,0.34,%
1043, Channa Masala,,14.50,9.00,0.58,%,134.50,1.00,%
1044,Devilled Potato,,15.50,8.00,0.52,%,118.00,0.88,%
1045,Paneer Masala,,17.50,6.00,0.39,%,95.00,0.71,%
1046, Palak Paneer,,16.00,5.00,0.32,%,81.50,0.61,%
1047,Butter Paneer,,0.00,7.00,0.45,%,99.00,0.74,%
1048,Cabbage/Potato,,14.50,6.00,0.39,%,91.00,0.68,%
1049,Devilled Cabbage,,16.00,2.00,0.13,%,30.00,0.22,%
1050,Pumpkin,,16.50,2.00,0.13,%,31.00,0.23,%
1051, Dhal,,14.50,11.00,0.71,%,160.50,1.20,%
1052,Parippu,,14.50,4.00,0.26,%,58.00,0.43,%
1053, Dhal Makhani,,16.50,2.00,0.13,%,31.50,0.24,%
1054,Green Bean Garlic,,16.00,1.00,0.06,%,16.00,0.12,%
1055, Potato Masala,,14.50,3.00,0.19,%,44.50,0.33,%
