Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.75,24.00,1.39,%,167.55,1.06,%
1001,Large Samosas,,6.75,19.00,1.10,%,132.75,0.84,%
1002, Samosas - Vege,,7.50,23.00,1.33,%,172.50,1.09,%
1003,Mini Spring Rolls,,7.50,10.00,0.58,%,75.00,0.48,%
1004, Curry Samosas,,6.50,3.00,0.17,%,17.50,0.11,%
1005,Onion Bhajia,,7.50,45.00,2.61,%,318.50,2.02,%
1006,chicken sticks,,8.50,20.00,1.16,%,186.00,1.18,%
1007,Tikka Chicken,,16.00,5.00,0.29,%,76.00,0.48,%
1008,chicken strips,,9.50,12.00,0.70,%,109.00,0.69,%
1009,Butter Chicken,,17.00,144.00,8.34,%,"2,515.00",15.94,%
1010,Madras Chicken,,18.50,14.00,0.81,%,242.75,1.54,%
1011,Chicken Korma,,16.50,22.00,1.27,%,379.00,2.40,%
1012,CH Tikka Masala,,18.50,24.00,1.39,%,416.00,2.64,%
1013,Chicken Vindaloo,,16.50,6.00,0.35,%,109.00,0.69,%
1014, Mustard Chicken,,16.50,20.00,1.16,%,347.75,2.20,%
1015,Chk In Coconut,,18.50,15.00,0.87,%,269.50,1.71,%
1016,Chicken Jalfrezi,,18.50,5.00,0.29,%,88.50,0.56,%
1017,Chefs SP Chicken.,,18.50,6.00,0.35,%,105.00,0.67,%
1018,Kukulmas Curry,,18.50,9.00,0.52,%,160.50,1.02,%
1019,Rogan Josh,,19.50,34.00,1.97,%,612.00,3.88,%
1020,Palak Gosht,,17.50,1.00,0.06,%,17.50,0.11,%
1021,Madras Lamb,,17.50,6.00,0.35,%,109.00,0.69,%
1022, Lamb Korma,,17.50,27.00,1.56,%,494.50,3.13,%
1023,Lamb Vindaloo,,17.50,4.00,0.23,%,70.00,0.44,%
1024,Chefs SP Lamb,,19.50,10.00,0.58,%,187.00,1.19,%
1025,Lamb Masala,,19.50,10.00,0.58,%,189.50,1.20,%
1026,Beef Vindaloo,,16.50,11.00,0.64,%,184.50,1.17,%
1027,Beef Jalfrezi,,18.50,3.00,0.17,%,53.50,0.34,%
1028,Madras Beef,,16.50,11.00,0.64,%,195.50,1.24,%
1029,Moghlai beef,,16.50,6.00,0.35,%,109.00,0.69,%
1030,Beef Korma,,18.50,13.00,0.75,%,222.50,1.41,%
1031,Chefs Sp beef,,16.50,2.00,0.12,%,33.00,0.21,%
1032,Chefs SP Prawn.,,22.00,1.00,0.06,%,22.00,0.14,%
1033,Mixed Seafood,,21.00,6.00,0.35,%,122.00,0.77,%
1034,K Praw N Coconut,,21.00,9.00,0.52,%,183.00,1.16,%
1035,Spicy King Prawn,,19.00,4.00,0.23,%,80.00,0.51,%
1036,Prawn Vindaloo,,21.00,2.00,0.12,%,40.00,0.25,%
1039,Chefs SP fish,,18.00,10.00,0.58,%,198.00,1.25,%
1040,Vege Korma,,14.50,15.00,0.87,%,221.50,1.40,%
1041, Potato Bhaji,,15.50,11.00,0.64,%,164.00,1.04,%
