Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,7.00,17.00,1.07,%,119.75,0.84,%
1001,Large Samosas,,7.50,32.00,2.01,%,222.75,1.55,%
1002, Samosas - Vege,,7.50,11.00,0.69,%,82.50,0.58,%
1003,Mini Spring Rolls,,7.50,8.00,0.50,%,60.00,0.42,%
1004, Curry Samosas,,6.50,7.00,0.44,%,42.50,0.30,%
1005,Onion Bhajia,,7.50,41.00,2.58,%,283.50,1.98,%
1006,chicken sticks,,9.50,7.00,0.44,%,64.50,0.45,%
1007,Tikka Chicken,,16.00,3.00,0.19,%,46.00,0.32,%
1008,chicken strips,,9.50,14.00,0.88,%,130.00,0.91,%
1009,Butter Chicken,,19.00,118.00,7.43,%,"2,065.00",14.41,%
1010,Madras Chicken,,16.50,8.00,0.50,%,133.75,0.93,%
1011,Chicken Korma,,16.50,26.00,1.64,%,451.00,3.15,%
1012,CH Tikka Masala,,18.50,15.00,0.94,%,267.50,1.87,%
1013,Chicken Vindaloo,,18.50,6.00,0.38,%,105.00,0.73,%
1014, Mustard Chicken,,18.50,8.00,0.50,%,142.00,0.99,%
1015,Chk In Coconut,,16.50,9.00,0.57,%,158.50,1.11,%
1016,Chicken Jalfrezi,,16.50,3.00,0.19,%,49.50,0.35,%
1017,Chefs SP Chicken.,,16.50,7.00,0.44,%,123.50,0.86,%
1018,Kukulmas Curry,,16.50,9.00,0.57,%,160.50,1.12,%
1019,Rogan Josh,,17.50,25.00,1.57,%,451.50,3.15,%
1020,Palak Gosht,,17.50,4.00,0.25,%,74.00,0.52,%
1021,Madras Lamb,,19.50,14.00,0.88,%,253.00,1.77,%
1022, Lamb Korma,,17.50,14.00,0.88,%,255.00,1.78,%
1023,Lamb Vindaloo,,19.50,3.00,0.19,%,58.50,0.41,%
1024,Chefs SP Lamb,,19.50,12.00,0.76,%,226.00,1.58,%
1025,Lamb Masala,,17.50,7.00,0.44,%,130.50,0.91,%
1026,Beef Vindaloo,,16.50,8.00,0.50,%,132.00,0.92,%
1027,Beef Jalfrezi,,18.50,3.00,0.19,%,53.50,0.37,%
1028,Madras Beef,,18.50,3.00,0.19,%,51.50,0.36,%
1029,Moghlai beef,,16.50,2.00,0.13,%,35.00,0.24,%
1030,Beef Korma,,18.50,6.00,0.38,%,107.00,0.75,%
1031,Chefs Sp beef,,18.50,7.00,0.44,%,119.50,0.83,%
1033,Mixed Seafood,,21.00,4.00,0.25,%,80.00,0.56,%
1034,K Praw N Coconut,,21.00,9.00,0.57,%,177.00,1.23,%
1035,Spicy King Prawn,,21.00,5.00,0.31,%,101.00,0.70,%
1037,Madras Prawn,,19.00,2.00,0.13,%,40.00,0.28,%
1038,Fish in Coconut,,18.00,5.00,0.31,%,102.00,0.71,%
1039,Chefs SP fish,,18.00,2.00,0.13,%,39.00,0.27,%
1040,Vege Korma,,14.50,7.00,0.44,%,103.50,0.72,%
1041, Potato Bhaji,,14.50,4.00,0.25,%,60.00,0.42,%
1042, Aloo Mattar,,14.50,4.00,0.25,%,58.00,0.40,%
1043, Channa Masala,,14.50,3.00,0.19,%,43.50,0.30,%
1044,Devilled Potato,,14.50,8.00,0.50,%,118.00,0.82,%
1045,Paneer Masala,,15.50,5.00,0.31,%,77.50,0.54,%
1046, Palak Paneer,,16.50,18.00,1.13,%,291.00,2.03,%
1047,Butter Paneer,,15.50,4.00,0.25,%,64.00,0.45,%
1048,Cabbage/Potato,,14.50,9.00,0.57,%,132.50,0.92,%
1049,Devilled Cabbage,,16.00,4.00,0.25,%,58.00,0.40,%
1050,Pumpkin,,16.50,6.00,0.38,%,95.00,0.66,%
1051, Dhal,,14.50,12.00,0.76,%,178.00,1.24,%
1052,Parippu,,14.50,4.00,0.25,%,59.00,0.41,%
1053, Dhal Makhani,,15.00,3.00,0.19,%,45.50,0.32,%
1054,Green Bean Garlic,,14.50,4.00,0.25,%,60.00,0.42,%
1055, Potato Masala,,15.50,5.00,0.31,%,74.50,0.52,%
1056, Potato Curry,,14.50,4.00,0.25,%,59.00,0.41,%
1057,Vege Butter Chick,,15.50,12.00,0.76,%,186.00,1.30,%
1058,Veg Chick Vinloo,,15.50,3.00,0.19,%,46.50,0.32,%
1059,Vege St Fry Chick,,15.50,10.00,0.63,%,162.00,1.13,%
1060, Pepper Chicken,,19.00,2.00,0.13,%,35.50,0.25,%
1064, Yellow Rice Medium,,3.50,35.00,2.20,%,131.50,0.92,%
1065, White Rice Medium,,4.00,21.00,1.32,%,76.50,0.53,%
1066, Pulao,,8.00,8.00,0.50,%,66.00,0.46,%
1067, Chicken Biryani,,15.50,14.00,0.88,%,213.00,1.49,%
1068, Lamb Biryani,,15.00,7.00,0.44,%,108.00,0.75,%
1069, Beef Biryani,,15.50,3.00,0.19,%,46.00,0.32,%
1070,Special Fried Rice,,15.00,33.00,2.08,%,502.50,3.51,%
1071,Plain Naan,,4.00,97.00,6.10,%,406.50,2.84,%
1072, Garlic Naan,,4.75,166.00,10.45,%,760.50,5.31,%
1074, Chapattis,,1.50,10.00,0.63,%,15.00,0.10,%
1075, Parathas,,2.25,27.00,1.70,%,56.50,0.39,%
1076, Pappodums x 4,,3.00,53.00,3.34,%,151.50,1.06,%
1077,Raita,,2.50,31.00,1.95,%,77.50,0.54,%
1079, Mango Chutney,,2.50,9.00,0.57,%,22.50,0.16,%
1080, Laccha,,8.00,2.00,0.13,%,16.00,0.11,%
1083, Curd n Honey,,7.00,1.00,0.06,%,7.00,0.05,%
1085, Plain/Salted Lassi,,5.50,2.00,0.13,%,11.00,0.08,%
1086,Sweet Mango Lassi,,6.50,19.00,1.20,%,119.50,0.83,%
1087,Mango Nectar,,7.00,2.00,0.13,%,14.00,0.10,%
1088, Falooda,,7.00,2.00,0.13,%,14.00,0.10,%
1089,Chili Naan,,5.00,6.00,0.38,%,29.50,0.21,%
1090,Yellow Rice Large,,4.50,81.00,5.10,%,392.00,2.73,%
1091, White Rice Large,,4.25,51.00,3.21,%,233.25,1.63,%
1093, Devilled Chicken,,19.00,3.00,0.19,%,52.00,0.36,%
1094, Devilled Beff,,19.00,4.00,0.25,%,73.50,0.51,%
1097,Cheese Nann,,5.00,7.00,0.44,%,33.50,0.23,%
1098,Coconut Water 500ml,,3.00,2.00,0.13,%,6.00,0.04,%
1100,Egg plant curry,,15.50,10.00,0.63,%,167.50,1.17,%
1101,Ginger Beer,,4.00,1.00,0.06,%,4.00,0.03,%
1103,Boiled Channa,,10.00,1.00,0.06,%,10.00,0.07,%
1104,Chicken Palandi,,16.50,1.00,0.06,%,16.50,0.12,%
1105,Beef Kufta,,18.50,1.00,0.06,%,18.50,0.13,%
1106,Goan Fish Curry,,21.00,4.00,0.25,%,81.00,0.57,%
1107,Fried Noodles,,11.00,3.00,0.19,%,33.00,0.23,%
1108,Can drinks,,2.50,23.00,1.45,%,57.50,0.40,%
1109,Glass Bottle 300ml,,3.50,2.00,0.13,%,7.00,0.05,%
1110,1.25L drink,,4.25,1.00,0.06,%,4.25,0.03,%
1113,Vege Chk MASALA,,15.50,3.00,0.19,%,46.50,0.32,%
1114,Vege Chk JALFREZI,,16.50,1.00,0.06,%,16.50,0.12,%
1115,Bottled Water,,2.00,3.00,0.19,%,6.00,0.04,%
1117,upgrade ONE SIZE,,1.50,4.00,0.25,%,6.00,0.04,%
1118,upgrade TWO SIZES,,2.75,6.00,0.38,%,16.50,0.12,%
1119,Cut Chilli,,1.50,2.00,0.13,%,3.00,0.02,%
1120,TEA Per Person,,4.50,2.00,0.13,%,9.00,0.06,%
1121,Cup Of Coffee,,4.50,3.00,0.19,%,13.50,0.09,%
1123, Devilled K Prawn,,21.00,1.00,0.06,%,21.00,0.15,%
1124, Devilled Fish,,18.00,1.00,0.06,%,18.00,0.13,%
1126,1000 Spic SFY Chicken,,16.50,2.00,0.13,%,35.50,0.25,%
1127, 1000 Spic SRY Beef,,16.50,2.00,0.13,%,35.50,0.25,%
1128, 1000 Spic Lamb,,19.50,1.00,0.06,%,19.50,0.14,%
1129,1000 Spic K Prawns,,21.00,2.00,0.13,%,42.00,0.29,%
1130,BYO Per Head,,1.50,32.00,2.01,%,48.00,0.33,%
1132,Goat Curry,,22.00,12.00,0.76,%,250.00,1.74,%
1134,Spicy Bean Masala,,15.50,1.00,0.06,%,15.50,0.11,%
1135,Jeera Rice Med,,5.50,2.00,0.13,%,11.00,0.08,%
1136,Jeera Rice Large,,7.50,1.00,0.06,%,7.50,0.05,%
1137,Egg Paratha,,3.00,4.00,0.25,%,12.00,0.08,%
1140,Green Bean n Potato,,15.50,5.00,0.31,%,74.50,0.52,%
1141,Large Spring Rolls,,7.50,3.00,0.19,%,22.50,0.16,%
1142,Jungle Curry,,19.00,3.00,0.19,%,57.00,0.40,%
1144,Vege Briyni,,12.50,4.00,0.25,%,50.00,0.35,%
1146,Delivery,,6.00,1.00,0.06,%,6.00,0.04,%
1147,Chilli Chicken,,19.00,1.00,0.06,%,19.00,0.13,%
1149,Paper Carry Bag,,0.15,57.00,3.59,%,8.55,0.06,%
1150,take away containers,,0.25,6.00,0.38,%,1.65,0.01,%
1151,Reuserble Bag,,0.10,48.00,3.02,%,4.80,0.03,%
1152,Madras Fish,,19.00,2.00,0.13,%,40.00,0.28,%
1154,Paneer Jalfrez,,16.00,11.00,0.69,%,176.00,1.23,%
6014,With spinach,,1.00,1.00,0.06,%,1.00,0.01,%
6018,Extra Garlic,Per naan,0.50,3.00,0.19,%,1.50,0.01,%
6033,With Chicken,,4.00,1.00,0.06,%,4.00,0.03,%
Total,"1,589.00","14,333.75",,,,,,,
