Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.50,13.00,0.77,%,86.50,0.56,%
1001,Large Samosas,,6.50,18.00,1.07,%,120.50,0.78,%
1002, Samosas - Vege,,7.50,17.00,1.01,%,127.50,0.83,%
1003,Mini Spring Rolls,,7.50,18.00,1.07,%,135.00,0.88,%
1004, Curry Samosas,,4.00,8.00,0.48,%,36.00,0.23,%
1005,Onion Bhajia,,5.50,45.00,2.68,%,255.00,1.66,%
1006,chicken sticks,,7.50,12.00,0.72,%,96.00,0.63,%
1008,chicken strips,,9.00,4.00,0.24,%,33.00,0.21,%
1009,Butter Chicken,,16.50,147.00,8.76,%,"2,497.50",16.26,%
1010,Madras Chicken,,18.00,11.00,0.66,%,186.00,1.21,%
1011,Chicken Korma,,18.00,32.00,1.91,%,538.50,3.51,%
1012,CH Tikka Masala,,16.00,25.00,1.49,%,406.00,2.64,%
1013,Chicken Vindaloo,,18.00,3.00,0.18,%,50.00,0.33,%
1014, Mustard Chicken,,18.00,13.00,0.77,%,222.00,1.45,%
1015,Chk In Coconut,,18.00,7.00,0.42,%,120.00,0.78,%
1016,Chicken Jalfrezi,,18.00,5.00,0.30,%,88.00,0.57,%
1017,Chefs SP Chicken.,,16.00,19.00,1.13,%,316.00,2.06,%
1018,Kukulmas Curry,,16.00,14.00,0.83,%,238.00,1.55,%
1019,Rogan Josh,,17.00,24.00,1.43,%,420.00,2.73,%
1020,Palak Gosht,,17.50,7.00,0.42,%,125.50,0.82,%
1021,Madras Lamb,,19.00,8.00,0.48,%,148.00,0.96,%
1022, Lamb Korma,,17.00,24.00,1.43,%,414.00,2.70,%
1023,Lamb Vindaloo,,17.00,9.00,0.54,%,161.00,1.05,%
1024,Chefs SP Lamb,,17.00,21.00,1.25,%,383.00,2.49,%
1025,Lamb Masala,,17.00,18.00,1.07,%,328.00,2.14,%
1026,Beef Vindaloo,,16.00,16.00,0.95,%,264.00,1.72,%
1027,Beef Jalfrezi,,16.00,3.00,0.18,%,50.00,0.33,%
1028,Madras Beef,,18.00,14.00,0.83,%,230.00,1.50,%
1029,Moghlai beef,,16.00,9.00,0.54,%,158.00,1.03,%
1030,Beef Korma,,16.00,7.00,0.42,%,118.00,0.77,%
1031,Chefs Sp beef,,16.00,18.00,1.07,%,298.00,1.94,%
1032,Chefs SP Prawn.,,20.00,4.00,0.24,%,78.00,0.51,%
1033,Mixed Seafood,,19.00,6.00,0.36,%,122.00,0.79,%
1034,K Praw N Coconut,,20.00,8.00,0.48,%,160.00,1.04,%
1035,Spicy King Prawn,,20.00,3.00,0.18,%,58.00,0.38,%
1037,Madras Prawn,,20.00,1.00,0.06,%,20.00,0.13,%
1038,Fish in Coconut,,19.00,1.00,0.06,%,19.00,0.12,%
1039,Chefs SP fish,,18.00,9.00,0.54,%,178.00,1.16,%
1040,Vege Korma,,14.00,16.00,0.95,%,228.00,1.48,%
1041, Potato Bhaji,,14.00,6.00,0.36,%,84.00,0.55,%
1042, Aloo Mattar,,14.00,2.00,0.12,%,28.00,0.18,%
1043, Channa Masala,,15.00,6.00,0.36,%,87.00,0.57,%
1044,Devilled Potato,,15.00,6.00,0.36,%,85.00,0.55,%
1045,Paneer Masala,,16.00,6.00,0.36,%,93.00,0.61,%
1046, Palak Paneer,,15.50,7.00,0.42,%,109.00,0.71,%
1047,Butter Paneer,,15.00,9.00,0.54,%,138.00,0.90,%
1048,Cabbage/Potato,,15.00,5.00,0.30,%,74.00,0.48,%
1049,Devilled Cabbage,,14.00,4.00,0.24,%,57.00,0.37,%
1050,Pumpkin,,15.00,4.00,0.24,%,61.00,0.40,%
1051, Dhal,,14.00,12.00,0.72,%,173.00,1.13,%
1052,Parippu,,14.00,2.00,0.12,%,29.00,0.19,%
1053, Dhal Makhani,,15.00,3.00,0.18,%,45.00,0.29,%
1054,Green Bean Garlic,,14.00,7.00,0.42,%,100.00,0.65,%
1055, Potato Masala,,15.00,6.00,0.36,%,86.00,0.56,%
1056, Potato Curry,,14.00,5.00,0.30,%,73.00,0.48,%
1057,Vege Butter Chick,,15.00,15.00,0.89,%,227.00,1.48,%
1058,Veg Chick Vinloo,,15.00,3.00,0.18,%,45.00,0.29,%
1059,Vege St Fry Chick,,15.00,3.00,0.18,%,45.00,0.29,%
1060, Pepper Chicken,,18.00,1.00,0.06,%,18.00,0.12,%
1061, Pepper Beef,,18.00,1.00,0.06,%,18.00,0.12,%
1062, Pepper Lamb,,19.00,1.00,0.06,%,19.00,0.12,%
1064, Yellow Rice Medium,,4.50,35.00,2.09,%,139.50,0.91,%
1065, White Rice Medium,,3.00,25.00,1.49,%,86.00,0.56,%
1066, Pulao,,8.50,8.00,0.48,%,60.50,0.39,%
1067, Chicken Biryani,,14.00,17.00,1.01,%,243.50,1.59,%
1068, Lamb Biryani,,15.50,6.00,0.36,%,88.50,0.58,%
