Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.75,19.00,1.00,%,188.75,1.09,%
1001,Large Samosas,,6.75,15.00,0.79,%,105.00,0.61,%
1002, Samosas - Vege,,7.50,15.00,0.79,%,112.50,0.65,%
1003,Mini Spring Rolls,,7.50,11.00,0.58,%,82.50,0.48,%
1004, Curry Samosas,,5.50,8.00,0.42,%,48.00,0.28,%
1005,Onion Bhajia,,6.50,48.00,2.53,%,325.00,1.87,%
1006,chicken sticks,,9.50,17.00,0.89,%,158.50,0.91,%
1007,Tikka Chicken,,16.00,5.00,0.26,%,78.00,0.45,%
1008,chicken strips,,9.50,11.00,0.58,%,97.50,0.56,%
1009,Butter Chicken,,17.00,157.00,8.26,%,"2,732.00",15.74,%
1010,Madras Chicken,,16.50,8.00,0.42,%,153.25,0.88,%
1011,Chicken Korma,,16.50,27.00,1.42,%,459.50,2.65,%
1012,CH Tikka Masala,,16.50,25.00,1.32,%,426.50,2.46,%
1013,Chicken Vindaloo,,18.50,7.00,0.37,%,121.50,0.70,%
1014, Mustard Chicken,,18.50,11.00,0.58,%,187.50,1.08,%
1015,Chk In Coconut,,16.50,14.00,0.74,%,249.00,1.43,%
1016,Chicken Jalfrezi,,16.50,7.00,0.37,%,117.50,0.68,%
1017,Chefs SP Chicken.,,16.50,10.00,0.53,%,173.00,1.00,%
1018,Kukulmas Curry,,18.50,15.00,0.79,%,261.50,1.51,%
1019,Rogan Josh,,17.50,26.00,1.37,%,475.00,2.74,%
1020,Palak Gosht,,19.50,5.00,0.26,%,95.50,0.55,%
1021,Madras Lamb,,17.50,7.00,0.37,%,126.50,0.73,%
1022, Lamb Korma,,17.50,36.00,1.89,%,646.00,3.72,%
1023,Lamb Vindaloo,,19.50,6.00,0.32,%,107.00,0.62,%
1024,Chefs SP Lamb,,17.50,10.00,0.53,%,181.00,1.04,%
1025,Lamb Masala,,17.50,6.00,0.32,%,111.00,0.64,%
1026,Beef Vindaloo,,16.50,27.00,1.42,%,458.50,2.64,%
1027,Beef Jalfrezi,,18.50,4.00,0.21,%,68.00,0.39,%
1028,Madras Beef,,16.50,12.00,0.63,%,204.00,1.18,%
1029,Moghlai beef,,16.50,6.00,0.32,%,103.00,0.59,%
1030,Beef Korma,,16.50,9.00,0.47,%,156.50,0.90,%
1031,Chefs Sp beef,,16.50,6.00,0.32,%,105.00,0.61,%
1032,Chefs SP Prawn.,,22.00,3.00,0.16,%,66.00,0.38,%
1033,Mixed Seafood,,21.00,5.00,0.26,%,101.50,0.58,%
1034,K Praw N Coconut,,19.00,10.00,0.53,%,198.00,1.14,%
1035,Spicy King Prawn,,21.00,2.00,0.11,%,40.00,0.23,%
1036,Prawn Vindaloo,,21.00,1.00,0.05,%,21.00,0.12,%
1037,Madras Prawn,,19.00,1.00,0.05,%,19.00,0.11,%
1038,Fish in Coconut,,18.00,2.00,0.11,%,36.00,0.21,%
1039,Chefs SP fish,,21.00,4.00,0.21,%,84.00,0.48,%
1040,Vege Korma,,14.50,15.00,0.79,%,224.50,1.29,%
1041, Potato Bhaji,,14.50,8.00,0.42,%,116.00,0.67,%
1042, Aloo Mattar,,14.50,4.00,0.21,%,58.00,0.33,%
1043, Channa Masala,,14.50,4.00,0.21,%,58.00,0.33,%
1044,Devilled Potato,,14.50,2.00,0.11,%,29.00,0.17,%
1045,Paneer Masala,,15.50,4.00,0.21,%,62.00,0.36,%
1046, Palak Paneer,,16.50,13.00,0.68,%,211.00,1.22,%
1047,Butter Paneer,,15.50,7.00,0.37,%,111.50,0.64,%
1048,Cabbage/Potato,,14.50,3.00,0.16,%,43.50,0.25,%
1049,Devilled Cabbage,,16.00,8.00,0.42,%,122.00,0.70,%
1050,Pumpkin,,16.50,3.00,0.16,%,45.50,0.26,%
1051, Dhal,,14.50,8.00,0.42,%,117.00,0.67,%
1052,Parippu,,14.50,1.00,0.05,%,14.50,0.08,%
1053, Dhal Makhani,,15.00,2.00,0.11,%,30.00,0.17,%
1054,Green Bean Garlic,,14.50,7.00,0.37,%,102.50,0.59,%
1055, Potato Masala,,14.50,3.00,0.16,%,44.50,0.26,%
1056, Potato Curry,,15.50,6.00,0.32,%,90.00,0.52,%
1057,Vege Butter Chick,,15.50,6.00,0.32,%,94.00,0.54,%
1058,Veg Chick Vinloo,,15.50,2.00,0.11,%,32.00,0.18,%
1059,Vege St Fry Chick,,16.50,6.00,0.32,%,96.00,0.55,%
1062, Pepper Lamb,,19.50,1.00,0.05,%,19.50,0.11,%
1063, Pepper K Prawn,,21.00,1.00,0.05,%,21.00,0.12,%
1064, Yellow Rice Medium,,3.50,38.00,2.00,%,149.00,0.86,%
1065, White Rice Medium,,3.25,24.00,1.26,%,89.25,0.51,%
1066, Pulao,,8.00,9.00,0.47,%,77.00,0.44,%
1067, Chicken Biryani,,15.00,28.00,1.47,%,425.50,2.45,%
1068, Lamb Biryani,,15.00,12.00,0.63,%,198.00,1.14,%
1069, Beef Biryani,,15.00,4.00,0.21,%,60.50,0.35,%
1070,Special Fried Rice,,15.00,24.00,1.26,%,363.00,2.09,%
1071,Plain Naan,,4.00,130.00,6.84,%,558.50,3.22,%
1072, Garlic Naan,,4.50,223.00,11.74,%,"1,020.50",5.88,%
1074, Chapattis,,1.50,15.00,0.79,%,22.50,0.13,%
1075, Parathas,,2.25,41.00,2.16,%,85.50,0.49,%
1076, Pappodums x 4,,2.75,55.00,2.89,%,156.00,0.90,%
1077,Raita,,2.50,42.00,2.21,%,105.00,0.61,%
1078, Achar,,2.50,1.00,0.05,%,2.50,0.01,%
1079, Mango Chutney,,2.50,5.00,0.26,%,12.50,0.07,%
1080, Laccha,,8.00,1.00,0.05,%,8.00,0.05,%
1081, Almond Kulfi,,4.50,3.00,0.16,%,13.50,0.08,%
1082, Mango Kulfi,,4.00,5.00,0.26,%,22.00,0.13,%
1084,Ice Cream,,5.00,2.00,0.11,%,10.00,0.06,%
1086,Sweet Mango Lassi,,4.50,6.00,0.32,%,37.00,0.21,%
1089,Chili Naan,,4.50,25.00,1.32,%,114.50,0.66,%
1090,Yellow Rice Large,,4.50,91.00,4.79,%,437.00,2.52,%
1091, White Rice Large,,4.25,53.00,2.79,%,235.75,1.36,%
1093, Devilled Chicken,,19.00,4.00,0.21,%,68.50,0.39,%
1094, Devilled Beff,,19.00,3.00,0.16,%,52.00,0.30,%
1096,1000 SPC Squid,,21.00,2.00,0.11,%,42.00,0.24,%
1097,Cheese Nann,,5.00,32.00,1.68,%,160.00,0.92,%
1100,Egg plant curry,,15.50,7.00,0.37,%,113.50,0.65,%
1101,Ginger Beer,,4.00,1.00,0.05,%,4.00,0.02,%
1102,Cream Soda Glass Bt,,3.50,1.00,0.05,%,3.50,0.02,%
1103,Boiled Channa,,8.50,3.00,0.16,%,25.50,0.15,%
1104,Chicken Palandi,,18.50,3.00,0.16,%,55.50,0.32,%
1105,Beef Kufta,,16.50,5.00,0.26,%,82.50,0.48,%
1106,Goan Fish Curry,,21.00,2.00,0.11,%,42.00,0.24,%
1107,Fried Noodles,,11.00,4.00,0.21,%,44.00,0.25,%
1108,Can drinks,,2.50,30.00,1.58,%,75.00,0.43,%
1109,Glass Bottle 300ml,,3.50,4.00,0.21,%,14.00,0.08,%
1110,1.25L drink,,4.25,2.00,0.11,%,8.50,0.05,%
1113,Vege Chk MASALA,,16.50,1.00,0.05,%,16.50,0.10,%
1117,upgrade ONE SIZE,,1.50,6.00,0.32,%,9.00,0.05,%
1118,upgrade TWO SIZES,,2.75,4.00,0.21,%,11.00,0.06,%
1119,Cut Chilli,,1.50,2.00,0.11,%,3.00,0.02,%
1121,Cup Of Coffee,,4.50,2.00,0.11,%,9.00,0.05,%
1123, Devilled K Prawn,,19.00,1.00,0.05,%,19.00,0.11,%
1124, Devilled Fish,,20.00,1.00,0.05,%,20.00,0.12,%
1125, Devilled Squid,,21.00,1.00,0.05,%,21.00,0.12,%
1126,1000 Spic SFY Chicken,,16.50,3.00,0.16,%,49.50,0.29,%
1127, 1000 Spic SRY Beef,,19.00,1.00,0.05,%,19.00,0.11,%
1129,1000 Spic K Prawns,,21.00,3.00,0.16,%,61.00,0.35,%
1130,BYO Per Head,,1.50,14.00,0.74,%,21.00,0.12,%
1132,Goat Curry,,22.00,21.00,1.11,%,427.00,2.46,%
1135,Jeera Rice Med,,5.50,5.00,0.26,%,27.50,0.16,%
1136,Jeera Rice Large,,9.50,6.00,0.32,%,53.00,0.31,%
1137,Egg Paratha,,2.50,11.00,0.58,%,27.50,0.16,%
1138,Coconut Ice Cream,,6.00,1.00,0.05,%,6.00,0.03,%
1139,Butter Cashew Masala,,17.00,3.00,0.16,%,51.00,0.29,%
1140,Green Bean n Potato,,14.50,2.00,0.11,%,30.00,0.17,%
1141,Large Spring Rolls,,7.50,3.00,0.16,%,22.50,0.13,%
1142,Jungle Curry,,19.00,3.00,0.16,%,57.00,0.33,%
1143,Sour Fish,,18.00,1.00,0.05,%,18.00,0.10,%
1144,Vege Briyni,,12.50,5.00,0.26,%,62.50,0.36,%
1145,Vege Fried Rice,,14.00,1.00,0.05,%,14.00,0.08,%
1146,Delivery,,6.00,4.00,0.21,%,24.00,0.14,%
1147,Chilli Chicken,,19.00,1.00,0.05,%,19.00,0.11,%
1149,Paper Carry Bag,,0.15,72.00,3.79,%,10.80,0.06,%
1151,Reuserble Bag,,0.10,44.00,2.32,%,4.40,0.03,%
1152,Madras Fish,,21.00,1.00,0.05,%,21.00,0.12,%
6018,Extra Garlic,Per naan,0.50,1.00,0.05,%,0.50,0.00,%
6033,With Chicken,,1.00,1.00,0.05,%,1.00,0.01,%
6036,Add Potato,,1.50,3.00,0.16,%,4.50,0.03,%
Total,"1,900.00","17,355.20",,,,,,,
