Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,7.00,30.00,1.28,%,199.50,0.93,%
1001,Large Samosas,,6.50,36.00,1.54,%,242.00,1.13,%
1002, Samosas - Vege,,7.50,28.00,1.20,%,255.00,1.19,%
1003,Mini Spring Rolls,,7.50,31.00,1.33,%,232.50,1.08,%
1004, Curry Samosas,,5.00,16.00,0.68,%,72.00,0.34,%
1005,Onion Bhajia,,5.50,66.00,2.82,%,385.00,1.79,%
1006,chicken sticks,,7.50,14.00,0.60,%,114.00,0.53,%
1008,chicken strips,,9.00,12.00,0.51,%,101.00,0.47,%
1009,Butter Chicken,,16.50,223.00,9.54,%,"3,771.50",17.55,%
1010,Madras Chicken,,16.00,6.00,0.26,%,100.00,0.47,%
1011,Chicken Korma,,16.50,33.00,1.41,%,553.50,2.58,%
1012,CH Tikka Masala,,16.00,33.00,1.41,%,540.00,2.51,%
1013,Chicken Vindaloo,,18.00,9.00,0.39,%,148.00,0.69,%
1014, Mustard Chicken,,18.00,36.00,1.54,%,612.00,2.85,%
1015,Chk In Coconut,,18.00,5.00,0.21,%,84.00,0.39,%
1016,Chicken Jalfrezi,,16.00,14.00,0.60,%,238.00,1.11,%
1017,Chefs SP Chicken.,,16.00,8.00,0.34,%,132.00,0.61,%
1018,Kukulmas Curry,,18.00,11.00,0.47,%,192.00,0.89,%
1019,Rogan Josh,,19.00,37.00,1.58,%,657.00,3.06,%
1020,Palak Gosht,,19.00,6.00,0.26,%,108.00,0.50,%
1021,Madras Lamb,,19.00,12.00,0.51,%,214.00,1.00,%
1022, Lamb Korma,,17.00,36.00,1.54,%,630.00,2.93,%
1023,Lamb Vindaloo,,19.00,9.00,0.39,%,165.00,0.77,%
1024,Chefs SP Lamb,,19.00,18.00,0.77,%,314.00,1.46,%
1025,Lamb Masala,,17.00,16.00,0.68,%,280.00,1.30,%
1026,Beef Vindaloo,,16.00,32.00,1.37,%,530.00,2.47,%
1027,Beef Jalfrezi,,18.00,8.00,0.34,%,134.00,0.62,%
1028,Madras Beef,,18.00,27.00,1.16,%,446.00,2.08,%
1029,Moghlai beef,,16.00,11.00,0.47,%,182.00,0.85,%
1030,Beef Korma,,16.00,13.00,0.56,%,210.00,0.98,%
1031,Chefs Sp beef,,16.00,21.00,0.90,%,350.00,1.63,%
1032,Chefs SP Prawn.,,20.00,9.00,0.39,%,172.00,0.80,%
1033,Mixed Seafood,,21.00,2.00,0.09,%,42.00,0.20,%
1034,K Praw N Coconut,,20.00,9.00,0.39,%,172.00,0.80,%
1035,Spicy King Prawn,,20.00,17.00,0.73,%,318.00,1.48,%
1037,Madras Prawn,,18.00,3.00,0.13,%,54.00,0.25,%
1038,Fish in Coconut,,19.00,5.00,0.21,%,93.00,0.43,%
1039,Chefs SP fish,,20.00,4.00,0.17,%,78.00,0.36,%
1040,Vege Korma,,14.00,23.00,0.98,%,335.00,1.56,%
1041, Potato Bhaji,,14.00,6.00,0.26,%,85.00,0.40,%
1042, Aloo Mattar,,14.00,9.00,0.39,%,129.00,0.60,%
1043, Channa Masala,,15.00,8.00,0.34,%,114.00,0.53,%
1044,Devilled Potato,,14.00,6.00,0.26,%,86.00,0.40,%
1045,Paneer Masala,,15.00,4.00,0.17,%,60.00,0.28,%
1046, Palak Paneer,,16.00,20.00,0.86,%,313.50,1.46,%
1047,Butter Paneer,,15.00,13.00,0.56,%,200.00,0.93,%
1048,Cabbage/Potato,,15.00,11.00,0.47,%,158.00,0.74,%
1049,Devilled Cabbage,,14.00,6.00,0.26,%,88.00,0.41,%
1050,Pumpkin,,16.00,9.00,0.39,%,138.00,0.64,%
1051, Dhal,,14.00,19.00,0.81,%,270.00,1.26,%
1052,Parippu,,15.00,9.00,0.39,%,132.00,0.61,%
1053, Dhal Makhani,,15.00,3.00,0.13,%,45.00,0.21,%
1054,Green Bean Garlic,,15.00,8.00,0.34,%,117.00,0.54,%
1055, Potato Masala,,14.00,5.00,0.21,%,71.00,0.33,%
1056, Potato Curry,,15.00,6.00,0.26,%,85.00,0.40,%
1057,Vege Butter Chick,,15.00,14.00,0.60,%,214.00,1.00,%
1058,Veg Chick Vinloo,,15.00,4.00,0.17,%,61.00,0.28,%
1059,Vege St Fry Chick,,16.00,5.00,0.21,%,77.00,0.36,%
1060, Pepper Chicken,,18.00,1.00,0.04,%,18.00,0.08,%
1061, Pepper Beef,,18.00,3.00,0.13,%,52.00,0.24,%
1064, Yellow Rice Medium,,3.50,56.00,2.40,%,221.00,1.03,%
1065, White Rice Medium,,3.00,21.00,0.90,%,75.00,0.35,%
1066, Pulao,,7.00,21.00,0.90,%,154.50,0.72,%
1067, Chicken Biryani,,14.00,29.00,1.24,%,419.50,1.95,%
1068, Lamb Biryani,,15.50,11.00,0.47,%,160.00,0.74,%
1069, Beef Biryani,,14.00,1.00,0.04,%,14.00,0.07,%
1070,Special Fried Rice,,15.50,14.00,0.60,%,203.50,0.95,%
1071,Plain Naan,,4.00,152.00,6.50,%,608.00,2.83,%
1072, Garlic Naan,,4.50,306.00,13.09,%,"1,398.25",6.51,%
1074, Chapattis,,1.75,28.00,1.20,%,44.50,0.21,%
1075, Parathas,,2.50,51.00,2.18,%,110.00,0.51,%
1076, Pappodums x 4,,2.75,125.00,5.35,%,351.25,1.63,%
1077,Raita,,2.50,64.00,2.74,%,160.00,0.74,%
1078, Achar,,3.00,1.00,0.04,%,3.00,0.01,%
1079, Mango Chutney,,2.50,11.00,0.47,%,27.50,0.13,%
1080, Laccha,,7.00,3.00,0.13,%,23.00,0.11,%
1084,Ice Cream,,5.00,1.00,0.04,%,5.00,0.02,%
1085, Plain/Salted Lassi,,4.00,1.00,0.04,%,4.00,0.02,%
1086,Sweet Mango Lassi,,4.50,18.00,0.77,%,80.00,0.37,%
1088, Falooda,,7.00,2.00,0.09,%,14.00,0.07,%
1089,Chili Naan,,4.75,1.00,0.04,%,4.75,0.02,%
1090,Yellow Rice Large,,4.50,95.00,4.07,%,461.50,2.15,%
1091, White Rice Large,,5.00,75.00,3.21,%,320.00,1.49,%
1092, Pepper Squid,,18.00,1.00,0.04,%,18.00,0.08,%
1093, Devilled Chicken,,18.00,2.00,0.09,%,34.00,0.16,%
1094, Devilled Beff,,18.00,1.00,0.04,%,18.00,0.08,%
