Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.50,37.00,1.61,%,248.00,1.20,%
1001,Large Samosas,,6.50,22.00,0.96,%,149.15,0.72,%
1002, Samosas - Vege,,7.50,22.00,0.96,%,165.00,0.80,%
1003,Mini Spring Rolls,,7.50,17.00,0.74,%,127.50,0.62,%
1004, Curry Samosas,,4.00,14.00,0.61,%,66.00,0.32,%
1005,Onion Bhajia,,5.50,70.00,3.05,%,415.00,2.01,%
1006,chicken sticks,,9.00,22.00,0.96,%,184.50,0.89,%
1008,chicken strips,,8.00,14.00,0.61,%,120.00,0.58,%
1009,Butter Chicken,,16.50,236.00,10.28,%,"3,989.50",19.32,%
1010,Madras Chicken,,16.00,9.00,0.39,%,148.00,0.72,%
1011,Chicken Korma,,16.50,33.00,1.44,%,561.00,2.72,%
1012,CH Tikka Masala,,16.00,23.00,1.00,%,388.00,1.88,%
1013,Chicken Vindaloo,,16.00,5.00,0.22,%,80.00,0.39,%
1014, Mustard Chicken,,16.00,28.00,1.22,%,466.00,2.26,%
1015,Chk In Coconut,,16.00,4.00,0.17,%,68.00,0.33,%
1016,Chicken Jalfrezi,,16.00,7.00,0.30,%,114.00,0.55,%
1017,Chefs SP Chicken.,,16.00,14.00,0.61,%,234.00,1.13,%
1018,Kukulmas Curry,,16.00,14.00,0.61,%,236.00,1.14,%
1019,Rogan Josh,,19.00,40.00,1.74,%,689.00,3.34,%
1020,Palak Gosht,,17.50,12.00,0.52,%,213.00,1.03,%
1021,Madras Lamb,,17.00,13.00,0.57,%,235.00,1.14,%
1022, Lamb Korma,,17.00,35.00,1.52,%,629.00,3.05,%
1023,Lamb Vindaloo,,17.00,11.00,0.48,%,195.00,0.94,%
1024,Chefs SP Lamb,,17.00,14.00,0.61,%,250.00,1.21,%
1025,Lamb Masala,,19.00,15.00,0.65,%,275.00,1.33,%
1026,Beef Vindaloo,,16.00,27.00,1.18,%,440.00,2.13,%
1027,Beef Jalfrezi,,16.00,6.00,0.26,%,100.00,0.48,%
1028,Madras Beef,,18.00,18.00,0.78,%,304.00,1.47,%
1029,Moghlai beef,,16.00,9.00,0.39,%,156.00,0.76,%
1030,Beef Korma,,18.00,16.00,0.70,%,270.00,1.31,%
1031,Chefs Sp beef,,16.00,14.00,0.61,%,236.00,1.14,%
1032,Chefs SP Prawn.,,18.00,8.00,0.35,%,152.00,0.74,%
1033,Mixed Seafood,,21.00,9.00,0.39,%,183.00,0.89,%
1034,K Praw N Coconut,,20.00,9.00,0.39,%,168.00,0.81,%
1035,Spicy King Prawn,,18.00,5.00,0.22,%,98.00,0.47,%
1036,Prawn Vindaloo,,20.00,1.00,0.04,%,20.00,0.10,%
1037,Madras Prawn,,18.00,6.00,0.26,%,112.00,0.54,%
1038,Fish in Coconut,,19.00,4.00,0.17,%,76.00,0.37,%
1039,Chefs SP fish,,18.00,9.00,0.39,%,170.00,0.82,%
1040,Vege Korma,,14.00,11.00,0.48,%,159.00,0.77,%
1041, Potato Bhaji,,14.00,2.00,0.09,%,28.00,0.14,%
1042, Aloo Mattar,,14.00,4.00,0.17,%,58.00,0.28,%
1043, Channa Masala,,14.00,7.00,0.30,%,99.00,0.48,%
1044,Devilled Potato,,14.00,9.00,0.39,%,129.00,0.62,%
1045,Paneer Masala,,15.00,9.00,0.39,%,138.00,0.67,%
1046, Palak Paneer,,15.50,19.00,0.83,%,296.00,1.43,%
1047,Butter Paneer,,15.00,8.00,0.35,%,125.00,0.61,%
1048,Cabbage/Potato,,14.00,13.00,0.57,%,186.00,0.90,%
1049,Devilled Cabbage,,14.00,4.00,0.17,%,57.00,0.28,%
1050,Pumpkin,,15.00,12.00,0.52,%,181.00,0.88,%
1051, Dhal,,14.00,15.00,0.65,%,216.00,1.05,%
1052,Parippu,,14.00,7.00,0.30,%,100.00,0.48,%
1053, Dhal Makhani,,15.00,8.00,0.35,%,120.00,0.58,%
1054,Green Bean Garlic,,14.00,9.00,0.39,%,131.00,0.63,%
1055, Potato Masala,,15.00,7.00,0.30,%,100.00,0.48,%
1056, Potato Curry,,14.00,8.00,0.35,%,112.00,0.54,%
1057,Vege Butter Chick,,15.00,11.00,0.48,%,166.00,0.80,%
1058,Veg Chick Vinloo,,15.00,2.00,0.09,%,30.00,0.15,%
1059,Vege St Fry Chick,,15.00,3.00,0.13,%,45.00,0.22,%
1061, Pepper Beef,,18.00,1.00,0.04,%,18.00,0.09,%
1063, Pepper K Prawn,,20.00,1.00,0.04,%,20.00,0.10,%
1064, Yellow Rice Medium,,3.50,45.00,1.96,%,181.50,0.88,%
1065, White Rice Medium,,3.00,32.00,1.39,%,111.00,0.54,%
1066, Pulao,,7.00,9.00,0.39,%,67.50,0.33,%
1067, Chicken Biryani,,14.00,19.00,0.83,%,272.00,1.32,%
1068, Lamb Biryani,,14.00,15.00,0.65,%,219.00,1.06,%
1069, Beef Biryani,,14.00,1.00,0.04,%,14.00,0.07,%
1070,Special Fried Rice,,14.00,9.00,0.39,%,126.00,0.61,%
1071,Plain Naan,,4.00,142.00,6.18,%,568.00,2.75,%
1072, Garlic Naan,,4.75,298.00,12.98,%,"1,363.25",6.60,%
1072, Garlic Naan,,4.75,3.00,0.13,%,14.25,0.07,%
1074, Chapattis,,1.50,48.00,2.09,%,74.25,0.36,%
1075, Parathas,,2.00,28.00,1.22,%,64.00,0.31,%
1076, Pappodums x 4,,2.75,115.00,5.01,%,320.25,1.55,%
1077,Raita,,2.50,54.00,2.35,%,135.00,0.65,%
1078, Achar,,3.00,2.00,0.09,%,5.50,0.03,%
1079, Mango Chutney,,2.50,17.00,0.74,%,42.50,0.21,%
1080, Laccha,,7.00,2.00,0.09,%,14.00,0.07,%
1081, Almond Kulfi,,4.00,1.00,0.04,%,4.00,0.02,%
1082, Mango Kulfi,,3.50,5.00,0.22,%,19.50,0.09,%
