Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.75,26.00,1.78,%,183.05,1.45,%
1001,Large Samosas,,6.75,25.00,1.71,%,170.25,1.34,%
1002, Samosas - Vege,,7.50,15.00,1.02,%,112.50,0.89,%
1003,Mini Spring Rolls,,7.50,13.00,0.89,%,97.50,0.77,%
1004, Curry Samosas,,6.50,10.00,0.68,%,59.00,0.47,%
1005,Onion Bhajia,,6.50,41.00,2.80,%,277.50,2.19,%
1006,chicken sticks,,8.50,16.00,1.09,%,139.00,1.10,%
1007,Tikka Chicken,,14.00,2.00,0.14,%,30.00,0.24,%
1008,chicken strips,,8.50,10.00,0.68,%,91.00,0.72,%
1009,Butter Chicken,,17.00,92.00,6.28,%,"1,585.00",12.51,%
1010,Madras Chicken,,16.50,9.00,0.61,%,150.50,1.19,%
1011,Chicken Korma,,18.50,20.00,1.37,%,342.00,2.70,%
1012,CH Tikka Masala,,16.50,7.00,0.48,%,115.50,0.91,%
1013,Chicken Vindaloo,,16.50,2.00,0.14,%,33.00,0.26,%
1014, Mustard Chicken,,16.50,17.00,1.16,%,290.50,2.29,%
1015,Chk In Coconut,,16.50,5.00,0.34,%,84.50,0.67,%
1016,Chicken Jalfrezi,,16.50,3.00,0.20,%,51.50,0.41,%
1017,Chefs SP Chicken.,,18.50,3.00,0.20,%,53.50,0.42,%
1018,Kukulmas Curry,,16.50,9.00,0.61,%,154.50,1.22,%
1019,Rogan Josh,,17.50,28.00,1.91,%,500.00,3.95,%
1020,Palak Gosht,,19.50,2.00,0.14,%,39.00,0.31,%
1021,Madras Lamb,,17.50,6.00,0.41,%,105.00,0.83,%
1022, Lamb Korma,,17.50,17.00,1.16,%,307.50,2.43,%
1023,Lamb Vindaloo,,17.50,6.00,0.41,%,111.00,0.88,%
1024,Chefs SP Lamb,,19.50,5.00,0.34,%,93.50,0.74,%
1025,Lamb Masala,,17.50,5.00,0.34,%,87.50,0.69,%
1026,Beef Vindaloo,,16.50,13.00,0.89,%,220.50,1.74,%
1027,Beef Jalfrezi,,18.50,3.00,0.20,%,53.50,0.42,%
1028,Madras Beef,,18.50,4.00,0.27,%,70.00,0.55,%
1029,Moghlai beef,,16.50,1.00,0.07,%,16.50,0.13,%
1030,Beef Korma,,16.50,3.00,0.20,%,49.50,0.39,%
1031,Chefs Sp beef,,16.50,3.00,0.20,%,53.50,0.42,%
1032,Chefs SP Prawn.,,22.00,3.00,0.20,%,62.00,0.49,%
1033,Mixed Seafood,,19.00,3.00,0.20,%,59.00,0.47,%
1034,K Praw N Coconut,,19.00,4.00,0.27,%,76.00,0.60,%
1035,Spicy King Prawn,,19.00,4.00,0.27,%,78.00,0.62,%
1036,Prawn Vindaloo,,19.00,2.00,0.14,%,40.00,0.32,%
1037,Madras Prawn,,19.00,1.00,0.07,%,19.00,0.15,%
1038,Fish in Coconut,,18.00,2.00,0.14,%,36.00,0.28,%
1039,Chefs SP fish,,18.00,5.00,0.34,%,90.00,0.71,%
1040,Vege Korma,,14.50,11.00,0.75,%,159.50,1.26,%
1041, Potato Bhaji,,14.50,1.00,0.07,%,14.50,0.11,%
1042, Aloo Mattar,,14.50,2.00,0.14,%,29.00,0.23,%
1043, Channa Masala,,14.50,2.00,0.14,%,29.00,0.23,%
1044,Devilled Potato,,14.50,7.00,0.48,%,103.50,0.82,%
1045,Paneer Masala,,15.50,2.00,0.14,%,31.00,0.24,%
1046, Palak Paneer,,16.00,8.00,0.55,%,130.50,1.03,%
1047,Butter Paneer,,16.50,5.00,0.34,%,80.50,0.64,%
1048,Cabbage/Potato,,14.50,6.00,0.41,%,91.00,0.72,%
1049,Devilled Cabbage,,14.00,3.00,0.20,%,46.00,0.36,%
1050,Pumpkin,,14.50,2.00,0.14,%,29.00,0.23,%
1051, Dhal,,14.50,12.00,0.82,%,177.00,1.40,%
1052,Parippu,,15.50,4.00,0.27,%,61.00,0.48,%
1053, Dhal Makhani,,15.00,3.00,0.20,%,45.00,0.36,%
1054,Green Bean Garlic,,14.50,3.00,0.20,%,44.50,0.35,%
1055, Potato Masala,,15.50,2.00,0.14,%,30.00,0.24,%
1056, Potato Curry,,14.50,5.00,0.34,%,72.50,0.57,%
1057,Vege Butter Chick,,15.50,11.00,0.75,%,172.50,1.36,%
1058,Veg Chick Vinloo,,16.50,3.00,0.20,%,49.50,0.39,%
1059,Vege St Fry Chick,,16.50,2.00,0.14,%,32.00,0.25,%
1061, Pepper Beef,,19.00,2.00,0.14,%,38.00,0.30,%
1063, Pepper K Prawn,,19.00,1.00,0.07,%,19.00,0.15,%
1064, Yellow Rice Medium,,3.50,36.00,2.46,%,136.00,1.07,%
1065, White Rice Medium,,4.00,16.00,1.09,%,60.25,0.48,%
1066, Pulao,,8.00,4.00,0.27,%,32.00,0.25,%
1067, Chicken Biryani,,15.00,9.00,0.61,%,136.50,1.08,%
1068, Lamb Biryani,,15.00,10.00,0.68,%,153.00,1.21,%
1069, Beef Biryani,,15.00,4.00,0.27,%,61.00,0.48,%
1070,Special Fried Rice,,15.00,46.00,3.14,%,678.50,5.36,%
1071,Plain Naan,,4.00,56.00,3.83,%,233.00,1.84,%
1072, Garlic Naan,,4.50,148.00,10.11,%,670.50,5.29,%
1074, Chapattis,,1.50,35.00,2.39,%,52.50,0.41,%
1075, Parathas,,2.00,43.00,2.94,%,88.00,0.69,%
1076, Pappodums x 4,,2.75,46.00,3.14,%,129.75,1.02,%
1077,Raita,,2.50,25.00,1.71,%,62.50,0.49,%
1079, Mango Chutney,,2.50,2.00,0.14,%,5.00,0.04,%
1081, Almond Kulfi,,4.50,2.00,0.14,%,9.00,0.07,%
1082, Mango Kulfi,,4.50,2.00,0.14,%,9.00,0.07,%
1084,Ice Cream,,5.00,2.00,0.14,%,10.00,0.08,%
1086,Sweet Mango Lassi,,6.50,9.00,0.61,%,51.50,0.41,%
1087,Mango Nectar,,7.00,2.00,0.14,%,14.00,0.11,%
1088, Falooda,,7.00,10.00,0.68,%,70.00,0.55,%
1089,Chili Naan,,4.50,9.00,0.61,%,41.50,0.33,%
1090,Yellow Rice Large,,4.50,53.00,3.62,%,249.50,1.97,%
1091, White Rice Large,,4.25,39.00,2.66,%,176.25,1.39,%
1093, Devilled Chicken,,16.50,8.00,0.55,%,137.00,1.08,%
1097,Cheese Nann,,4.50,14.00,0.96,%,65.50,0.52,%
1098,Coconut Water 500ml,,3.00,2.00,0.14,%,6.00,0.05,%
1100,Egg plant curry,,15.50,6.00,0.41,%,98.00,0.77,%
1101,Ginger Beer,,4.00,8.00,0.55,%,32.00,0.25,%
1102,Cream Soda Glass Bt,,3.50,4.00,0.27,%,14.00,0.11,%
1103,Boiled Channa,,10.00,1.00,0.07,%,10.00,0.08,%
1104,Chicken Palandi,,18.50,4.00,0.27,%,70.00,0.55,%
1105,Beef Kufta,,18.50,3.00,0.20,%,55.50,0.44,%
1106,Goan Fish Curry,,18.00,1.00,0.07,%,18.00,0.14,%
1107,Fried Noodles,,0.00,11.00,0.75,%,110.00,0.87,%
1108,Can drinks,,2.50,16.00,1.09,%,40.00,0.32,%
1109,Glass Bottle 300ml,,3.50,3.00,0.20,%,10.50,0.08,%
1110,1.25L drink,,5.00,2.00,0.14,%,10.00,0.08,%
1113,Vege Chk MASALA,,15.50,2.00,0.14,%,31.00,0.24,%
1114,Vege Chk JALFREZI,,15.50,1.00,0.07,%,15.50,0.12,%
1117,upgrade ONE SIZE,,1.50,10.00,0.68,%,15.00,0.12,%
1118,upgrade TWO SIZES,,2.75,4.00,0.27,%,11.00,0.09,%
1119,Cut Chilli,,1.50,1.00,0.07,%,1.50,0.01,%
1121,Cup Of Coffee,,4.50,1.00,0.07,%,4.50,0.04,%
1122, Devilled Lamb,,17.50,5.00,0.34,%,95.50,0.75,%
1126,1000 Spic SFY Chicken,,19.00,2.00,0.14,%,38.00,0.30,%
1129,1000 Spic K Prawns,,21.00,3.00,0.20,%,61.00,0.48,%
1130,BYO Per Head,,1.50,46.00,3.14,%,69.00,0.54,%
1131, Buchet of Ice,,1.50,5.00,0.34,%,7.50,0.06,%
1132,Goat Curry,,22.00,11.00,0.75,%,228.00,1.80,%
1133,Goan Prawn Curry,,21.00,1.00,0.07,%,21.00,0.17,%
1135,Jeera Rice Med,,5.50,1.00,0.07,%,5.50,0.04,%
1136,Jeera Rice Large,,7.50,2.00,0.14,%,15.00,0.12,%
1137,Egg Paratha,,3.00,1.00,0.07,%,3.00,0.02,%
1138,Coconut Ice Cream,,6.00,1.00,0.07,%,6.00,0.05,%
1139,Butter Cashew Masala,,17.00,3.00,0.20,%,52.00,0.41,%
1140,Green Bean n Potato,,14.50,3.00,0.20,%,44.50,0.35,%
1141,Large Spring Rolls,,7.50,5.00,0.34,%,37.50,0.30,%
1142,Jungle Curry,,19.00,2.00,0.14,%,38.00,0.30,%
1144,Vege Briyni,,12.50,5.00,0.34,%,64.00,0.51,%
