Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.75,21.00,1.52,%,144.00,1.15,%
1001,Large Samosas,,7.50,17.00,1.23,%,117.75,0.94,%
1002, Samosas - Vege,,7.50,7.00,0.51,%,52.50,0.42,%
1003,Mini Spring Rolls,,7.50,9.00,0.65,%,67.50,0.54,%
1004, Curry Samosas,,5.50,8.00,0.58,%,50.00,0.40,%
1005,Onion Bhajia,,6.50,31.00,2.24,%,218.50,1.75,%
1006,chicken sticks,,9.50,29.00,2.09,%,268.50,2.15,%
1007,Tikka Chicken,,16.00,3.00,0.22,%,48.00,0.38,%
1008,chicken strips,,9.50,15.00,1.08,%,133.50,1.07,%
1009,Butter Chicken,,17.00,103.00,7.43,%,"1,801.50",14.40,%
1010,Madras Chicken,,16.50,6.00,0.43,%,105.00,0.84,%
1011,Chicken Korma,,16.50,23.00,1.66,%,405.00,3.24,%
1012,CH Tikka Masala,,16.50,14.00,1.01,%,241.00,1.93,%
1013,Chicken Vindaloo,,16.50,4.00,0.29,%,68.00,0.54,%
1014, Mustard Chicken,,16.50,14.00,1.01,%,243.00,1.94,%
1015,Chk In Coconut,,16.50,11.00,0.79,%,197.50,1.58,%
1016,Chicken Jalfrezi,,18.50,11.00,0.79,%,193.00,1.54,%
1017,Chefs SP Chicken.,,16.50,8.00,0.58,%,141.00,1.13,%
1018,Kukulmas Curry,,16.50,7.00,0.51,%,123.50,0.99,%
1019,Rogan Josh,,17.50,23.00,1.66,%,418.50,3.34,%
1020,Palak Gosht,,19.50,2.00,0.14,%,39.00,0.31,%
1021,Madras Lamb,,17.50,7.00,0.51,%,126.50,1.01,%
1022, Lamb Korma,,17.50,22.00,1.59,%,403.00,3.22,%
1023,Lamb Vindaloo,,17.50,1.00,0.07,%,17.50,0.14,%
1024,Chefs SP Lamb,,17.50,7.00,0.51,%,132.50,1.06,%
1025,Lamb Masala,,17.50,9.00,0.65,%,163.50,1.31,%
1026,Beef Vindaloo,,16.50,12.00,0.87,%,208.00,1.66,%
1027,Beef Jalfrezi,,16.50,4.00,0.29,%,68.00,0.54,%
1028,Madras Beef,,16.50,8.00,0.58,%,136.00,1.09,%
1029,Moghlai beef,,18.50,4.00,0.29,%,68.00,0.54,%
1030,Beef Korma,,16.50,7.00,0.51,%,119.50,0.95,%
1031,Chefs Sp beef,,16.50,9.00,0.65,%,158.50,1.27,%
1032,Chefs SP Prawn.,,18.00,1.00,0.07,%,18.00,0.14,%
1033,Mixed Seafood,,19.00,5.00,0.36,%,97.50,0.78,%
1034,K Praw N Coconut,,19.00,5.00,0.36,%,97.00,0.78,%
1035,Spicy King Prawn,,21.00,1.00,0.07,%,21.00,0.17,%
1037,Madras Prawn,,21.00,1.00,0.07,%,21.00,0.17,%
1038,Fish in Coconut,,18.00,5.00,0.36,%,96.00,0.77,%
1039,Chefs SP fish,,18.00,6.00,0.43,%,123.00,0.98,%
1040,Vege Korma,,14.50,7.00,0.51,%,103.50,0.83,%
1041, Potato Bhaji,,14.50,7.00,0.51,%,102.50,0.82,%
1042, Aloo Mattar,,15.50,5.00,0.36,%,74.50,0.60,%
1043, Channa Masala,,14.50,3.00,0.22,%,43.50,0.35,%
1044,Devilled Potato,,14.50,2.00,0.14,%,30.00,0.24,%
1045,Paneer Masala,,15.50,1.00,0.07,%,15.50,0.12,%
1046, Palak Paneer,,16.00,11.00,0.79,%,177.50,1.42,%
1047,Butter Paneer,,15.50,3.00,0.22,%,46.50,0.37,%
1048,Cabbage/Potato,,16.50,2.00,0.14,%,31.00,0.25,%
1049,Devilled Cabbage,,16.00,4.00,0.29,%,60.00,0.48,%
1050,Pumpkin,,14.50,1.00,0.07,%,14.50,0.12,%
1051, Dhal,,14.50,5.00,0.36,%,73.50,0.59,%
1052,Parippu,,14.50,1.00,0.07,%,14.50,0.12,%
1053, Dhal Makhani,,15.50,3.00,0.22,%,45.50,0.36,%
1054,Green Bean Garlic,,14.50,2.00,0.14,%,30.00,0.24,%
