Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.50,24.00,1.37,%,157.50,0.96,%
1001,Large Samosas,,6.50,23.00,1.31,%,162.00,0.99,%
1002, Samosas - Vege,,7.50,21.00,1.19,%,157.50,0.96,%
1003,Mini Spring Rolls,,7.50,17.00,0.97,%,127.50,0.78,%
1004, Curry Samosas,,4.00,11.00,0.63,%,50.00,0.31,%
1005,Onion Bhajia,,5.50,54.00,3.07,%,312.30,1.91,%
1006,chicken sticks,,7.50,12.00,0.68,%,97.50,0.60,%
1008,chicken strips,,8.00,9.00,0.51,%,74.00,0.45,%
1009,Butter Chicken,,16.50,183.00,10.41,%,"3,087.50",18.89,%
1010,Madras Chicken,,18.00,12.00,0.68,%,200.00,1.22,%
1011,Chicken Korma,,16.50,34.00,1.93,%,574.50,3.51,%
1012,CH Tikka Masala,,18.00,22.00,1.25,%,370.00,2.26,%
1013,Chicken Vindaloo,,16.00,6.00,0.34,%,100.00,0.61,%
1014, Mustard Chicken,,16.00,15.00,0.85,%,262.00,1.60,%
1015,Chk In Coconut,,16.00,5.00,0.28,%,80.00,0.49,%
1016,Chicken Jalfrezi,,16.00,7.00,0.40,%,118.00,0.72,%
1017,Chefs SP Chicken.,,16.00,6.00,0.34,%,100.00,0.61,%
1018,Kukulmas Curry,,16.00,1.00,0.06,%,16.00,0.10,%
1019,Rogan Josh,,19.00,32.00,1.82,%,562.00,3.44,%
1020,Palak Gosht,,17.50,7.00,0.40,%,127.00,0.78,%
1021,Madras Lamb,,17.00,6.00,0.34,%,104.00,0.64,%
1022, Lamb Korma,,17.00,26.00,1.48,%,460.00,2.81,%
1023,Lamb Vindaloo,,17.00,10.00,0.57,%,174.00,1.06,%
1024,Chefs SP Lamb,,17.00,17.00,0.97,%,307.00,1.88,%
1025,Lamb Masala,,19.00,7.00,0.40,%,127.00,0.78,%
1026,Beef Vindaloo,,16.00,15.00,0.85,%,250.00,1.53,%
1027,Beef Jalfrezi,,16.00,8.00,0.46,%,136.00,0.83,%
1028,Madras Beef,,16.00,19.00,1.08,%,316.00,1.93,%
1029,Moghlai beef,,16.00,10.00,0.57,%,164.00,1.00,%
1030,Beef Korma,,18.00,14.00,0.80,%,233.00,1.43,%
1031,Chefs Sp beef,,18.00,13.00,0.74,%,218.00,1.33,%
1032,Chefs SP Prawn.,,18.00,7.00,0.40,%,134.00,0.82,%
1033,Mixed Seafood,,19.00,5.00,0.28,%,101.00,0.62,%
1034,K Praw N Coconut,,18.00,6.00,0.34,%,114.00,0.70,%
1035,Spicy King Prawn,,20.00,6.00,0.34,%,118.00,0.72,%
1036,Prawn Vindaloo,,20.00,1.00,0.06,%,20.00,0.12,%
1037,Madras Prawn,,18.00,4.00,0.23,%,72.00,0.44,%
1038,Fish in Coconut,,19.00,6.00,0.34,%,112.00,0.69,%
1039,Chefs SP fish,,18.00,11.00,0.63,%,214.00,1.31,%
1040,Vege Korma,,14.00,19.00,1.08,%,272.00,1.66,%
1041, Potato Bhaji,,15.00,2.00,0.11,%,29.00,0.18,%
1042, Aloo Mattar,,15.00,5.00,0.28,%,72.00,0.44,%
1043, Channa Masala,,14.00,4.00,0.23,%,58.00,0.35,%
1044,Devilled Potato,,14.00,8.00,0.46,%,116.00,0.71,%
1045,Paneer Masala,,15.00,3.00,0.17,%,47.00,0.29,%
1046, Palak Paneer,,15.50,11.00,0.63,%,172.00,1.05,%
1047,Butter Paneer,,16.00,2.00,0.11,%,31.00,0.19,%
1048,Cabbage/Potato,,15.00,7.00,0.40,%,100.00,0.61,%
1050,Pumpkin,,15.00,4.00,0.23,%,61.00,0.37,%
1051, Dhal,,14.00,14.00,0.80,%,199.50,1.22,%
1052,Parippu,,14.00,2.00,0.11,%,29.00,0.18,%
1053, Dhal Makhani,,15.00,2.00,0.11,%,30.00,0.18,%
1054,Green Bean Garlic,,15.00,8.00,0.46,%,117.00,0.72,%
1055, Potato Masala,,14.00,2.00,0.11,%,28.00,0.17,%
1056, Potato Curry,,14.00,6.00,0.34,%,87.00,0.53,%
1057,Vege Butter Chick,,15.00,17.00,0.97,%,255.00,1.56,%
1058,Veg Chick Vinloo,,15.00,2.00,0.11,%,30.00,0.18,%
1059,Vege St Fry Chick,,15.00,4.00,0.23,%,60.00,0.37,%
1063, Pepper K Prawn,,20.00,1.00,0.06,%,20.00,0.12,%
1064, Yellow Rice Medium,,3.50,40.00,2.28,%,154.00,0.94,%
1065, White Rice Medium,,4.00,14.00,0.80,%,49.00,0.30,%
1066, Pulao,,8.50,17.00,0.97,%,126.50,0.77,%
1067, Chicken Biryani,,14.00,22.00,1.25,%,315.50,1.93,%
1068, Lamb Biryani,,15.50,11.00,0.63,%,160.00,0.98,%
1069, Beef Biryani,,14.00,1.00,0.06,%,14.00,0.09,%
1070,Special Fried Rice,,14.00,17.00,0.97,%,245.50,1.50,%
1071,Plain Naan,,4.00,113.00,6.43,%,452.00,2.77,%
1072, Garlic Naan,,4.50,254.00,14.45,%,"1,157.75",7.08,%
1074, Chapattis,,1.50,15.00,0.85,%,23.00,0.14,%
1075, Parathas,,2.50,31.00,1.76,%,68.00,0.42,%
1076, Pappodums x 4,,2.75,56.00,3.19,%,156.25,0.96,%
1077,Raita,,2.50,46.00,2.62,%,115.00,0.70,%
1079, Mango Chutney,,2.50,10.00,0.57,%,25.00,0.15,%
1080, Laccha,,7.00,1.00,0.06,%,7.00,0.04,%
1081, Almond Kulfi,,3.50,5.00,0.28,%,17.50,0.11,%
1082, Mango Kulfi,,3.50,5.00,0.28,%,18.00,0.11,%
1083, Curd n Honey,,7.00,1.00,0.06,%,7.00,0.04,%
1085, Plain/Salted Lassi,,4.00,1.00,0.06,%,4.00,0.02,%
1086,Sweet Mango Lassi,,4.00,9.00,0.51,%,40.00,0.24,%
1089,Chili Naan,,4.75,1.00,0.06,%,4.75,0.03,%
1090,Yellow Rice Large,,4.50,85.00,4.84,%,415.50,2.54,%
1091, White Rice Large,,4.00,49.00,2.79,%,217.00,1.33,%
