Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.75,22.00,1.41,%,150.75,1.11,%
1001,Large Samosas,,6.75,17.00,1.09,%,123.75,0.91,%
1002, Samosas - Vege,,7.50,10.00,0.64,%,75.00,0.55,%
1003,Mini Spring Rolls,,7.50,3.00,0.19,%,22.50,0.17,%
1004, Curry Samosas,,6.50,8.00,0.51,%,48.00,0.35,%
1005,Onion Bhajia,,7.50,42.00,2.70,%,294.00,2.16,%
1006,chicken sticks,,9.50,27.00,1.74,%,258.86,1.90,%
1007,Tikka Chicken,,16.00,4.00,0.26,%,58.00,0.43,%
1008,chicken strips,,8.50,17.00,1.09,%,149.50,1.10,%
1009,Butter Chicken,,17.00,128.00,8.23,%,"2,239.50",16.43,%
1010,Madras Chicken,,16.50,8.00,0.51,%,138.00,1.01,%
1011,Chicken Korma,,16.50,16.00,1.03,%,274.00,2.01,%
1012,CH Tikka Masala,,18.50,13.00,0.84,%,228.50,1.68,%
1013,Chicken Vindaloo,,16.50,5.00,0.32,%,86.50,0.63,%
1014, Mustard Chicken,,18.50,16.00,1.03,%,278.00,2.04,%
1015,Chk In Coconut,,18.50,2.00,0.13,%,35.00,0.26,%
1016,Chicken Jalfrezi,,18.50,4.00,0.26,%,72.00,0.53,%
1017,Chefs SP Chicken.,,18.50,7.00,0.45,%,121.50,0.89,%
1018,Kukulmas Curry,,16.50,10.00,0.64,%,177.00,1.30,%
1019,Rogan Josh,,17.50,21.00,1.35,%,381.50,2.80,%
1020,Palak Gosht,,17.50,4.00,0.26,%,72.00,0.53,%
1021,Madras Lamb,,17.50,7.00,0.45,%,126.50,0.93,%
1022, Lamb Korma,,19.50,18.00,1.16,%,333.00,2.44,%
1023,Lamb Vindaloo,,19.50,4.00,0.26,%,74.00,0.54,%
1024,Chefs SP Lamb,,17.50,16.00,1.03,%,284.00,2.08,%
1025,Lamb Masala,,19.50,7.00,0.45,%,132.50,0.97,%
1026,Beef Vindaloo,,0.00,13.00,0.84,%,202.00,1.48,%
1027,Beef Jalfrezi,,18.50,2.00,0.13,%,37.00,0.27,%
1028,Madras Beef,,16.50,9.00,0.58,%,150.50,1.10,%
1029,Moghlai beef,,16.50,5.00,0.32,%,84.50,0.62,%
1030,Beef Korma,,18.50,9.00,0.58,%,160.50,1.18,%
1031,Chefs Sp beef,,18.50,5.00,0.32,%,86.50,0.63,%
1032,Chefs SP Prawn.,,18.00,3.00,0.19,%,62.00,0.45,%
1033,Mixed Seafood,,19.00,3.00,0.19,%,61.00,0.45,%
1034,K Praw N Coconut,,19.00,2.00,0.13,%,38.00,0.28,%
1035,Spicy King Prawn,,21.00,3.00,0.19,%,63.00,0.46,%
1036,Prawn Vindaloo,,22.00,3.00,0.19,%,62.00,0.45,%
1037,Madras Prawn,,19.00,3.00,0.19,%,59.00,0.43,%
1038,Fish in Coconut,,21.00,2.00,0.13,%,42.00,0.31,%
1039,Chefs SP fish,,21.00,2.00,0.13,%,42.00,0.31,%
1040,Vege Korma,,15.50,5.00,0.32,%,75.50,0.55,%
1041, Potato Bhaji,,15.50,10.00,0.64,%,147.00,1.08,%
1042, Aloo Mattar,,15.50,4.00,0.26,%,60.00,0.44,%
1043, Channa Masala,,15.50,3.00,0.19,%,45.50,0.33,%
1044,Devilled Potato,,15.50,4.00,0.26,%,59.00,0.43,%
1045,Paneer Masala,,16.50,3.00,0.19,%,49.50,0.36,%
1046, Palak Paneer,,16.00,8.00,0.51,%,129.50,0.95,%
1047,Butter Paneer,,15.50,10.00,0.64,%,159.00,1.17,%
1048,Cabbage/Potato,,16.50,3.00,0.19,%,45.50,0.33,%
1049,Devilled Cabbage,,14.00,1.00,0.06,%,14.00,0.10,%
1050,Pumpkin,,14.50,3.00,0.19,%,45.50,0.33,%
1051, Dhal,,14.50,8.00,0.51,%,119.00,0.87,%
1052,Parippu,,14.50,2.00,0.13,%,30.00,0.22,%
1053, Dhal Makhani,,15.50,3.00,0.19,%,46.50,0.34,%
1054,Green Bean Garlic,,14.50,6.00,0.39,%,89.00,0.65,%
1055, Potato Masala,,14.50,1.00,0.06,%,14.50,0.11,%
1056, Potato Curry,,14.50,2.00,0.13,%,29.00,0.21,%
1057,Vege Butter Chick,,15.50,5.00,0.32,%,76.50,0.56,%
1058,Veg Chick Vinloo,,15.50,3.00,0.19,%,46.50,0.34,%
1059,Vege St Fry Chick,,16.50,5.00,0.32,%,80.50,0.59,%
1060, Pepper Chicken,,16.50,4.00,0.26,%,68.50,0.50,%
1061, Pepper Beef,,19.00,2.00,0.13,%,35.50,0.26,%
1064, Yellow Rice Medium,,3.50,38.00,2.44,%,155.00,1.14,%
1065, White Rice Medium,,3.25,15.00,0.96,%,56.25,0.41,%
1066, Pulao,,9.00,6.00,0.39,%,51.00,0.37,%
1067, Chicken Biryani,,15.50,19.00,1.22,%,287.50,2.11,%
1068, Lamb Biryani,,16.00,5.00,0.32,%,78.00,0.57,%
1069, Beef Biryani,,15.00,2.00,0.13,%,30.00,0.22,%
1070,Special Fried Rice,,15.50,8.00,0.51,%,121.00,0.89,%
1071,Plain Naan,,4.00,91.00,5.85,%,378.50,2.78,%
1072, Garlic Naan,,4.50,172.00,11.05,%,788.75,5.79,%
1074, Chapattis,,1.50,40.00,2.57,%,60.00,0.44,%
1075, Parathas,,2.25,16.00,1.03,%,35.00,0.26,%
1076, Pappodums x 4,,2.75,67.00,4.31,%,191.25,1.40,%
1077,Raita,,2.50,35.00,2.25,%,87.50,0.64,%
1078, Achar,,2.50,2.00,0.13,%,5.00,0.04,%
1079, Mango Chutney,,2.50,11.00,0.71,%,27.50,0.20,%
1080, Laccha,,7.00,1.00,0.06,%,7.00,0.05,%
1081, Almond Kulfi,,4.50,2.00,0.13,%,9.00,0.07,%
1082, Mango Kulfi,,4.50,4.00,0.26,%,18.00,0.13,%
1085, Plain/Salted Lassi,,5.50,1.00,0.06,%,5.50,0.04,%
1086,Sweet Mango Lassi,,6.50,9.00,0.58,%,58.50,0.43,%
1087,Mango Nectar,,7.00,1.00,0.06,%,7.00,0.05,%
1088, Falooda,,7.00,1.00,0.06,%,7.00,0.05,%
1089,Chili Naan,,4.50,13.00,0.84,%,60.50,0.44,%
1090,Yellow Rice Large,,5.50,62.00,3.98,%,304.00,2.23,%
1091, White Rice Large,,4.25,53.00,3.41,%,243.25,1.78,%
1095,Chilli Squid,,19.00,2.00,0.13,%,37.00,0.27,%
1097,Cheese Nann,,5.00,20.00,1.29,%,100.50,0.74,%
1100,Egg plant curry,,18.00,10.00,0.64,%,170.00,1.25,%
1103,Boiled Channa,,8.50,2.00,0.13,%,17.00,0.12,%
1104,Chicken Palandi,,18.50,2.00,0.13,%,37.00,0.27,%
1105,Beef Kufta,,18.50,2.00,0.13,%,35.00,0.26,%
1106,Goan Fish Curry,,21.00,5.00,0.32,%,105.00,0.77,%
1107,Fried Noodles,,11.00,1.00,0.06,%,11.00,0.08,%
1108,Can drinks,,2.50,18.00,1.16,%,45.00,0.33,%
1109,Glass Bottle 300ml,,3.50,2.00,0.13,%,7.00,0.05,%
1112,Sparking water,,4.00,2.00,0.13,%,8.00,0.06,%
1113,Vege Chk MASALA,,15.50,5.00,0.32,%,78.50,0.58,%
1117,upgrade ONE SIZE,,1.50,11.00,0.71,%,16.50,0.12,%
1118,upgrade TWO SIZES,,2.75,3.00,0.19,%,8.25,0.06,%
1119,Cut Chilli,,1.50,3.00,0.19,%,4.50,0.03,%
1120,TEA Per Person,,4.50,1.00,0.06,%,4.50,0.03,%
1121,Cup Of Coffee,,4.50,3.00,0.19,%,13.50,0.10,%
1123, Devilled K Prawn,,21.00,1.00,0.06,%,21.00,0.15,%
1126,1000 Spic SFY Chicken,,16.50,3.00,0.19,%,52.00,0.38,%
1129,1000 Spic K Prawns,,19.00,2.00,0.13,%,40.00,0.29,%
1130,BYO Per Head,,1.50,28.00,1.80,%,42.00,0.31,%
1131, Buchet of Ice,,1.50,1.00,0.06,%,1.50,0.01,%
1132,Goat Curry,,18.50,15.00,0.96,%,309.00,2.27,%
1133,Goan Prawn Curry,,21.00,2.00,0.13,%,42.00,0.31,%
1134,Spicy Bean Masala,,15.50,1.00,0.06,%,15.50,0.11,%
1135,Jeera Rice Med,,5.50,1.00,0.06,%,5.50,0.04,%
1136,Jeera Rice Large,,9.50,1.00,0.06,%,9.50,0.07,%
1137,Egg Paratha,,2.50,9.00,0.58,%,24.50,0.18,%
1139,Butter Cashew Masala,,17.00,1.00,0.06,%,17.00,0.12,%
1140,Green Bean n Potato,,15.50,4.00,0.26,%,61.00,0.45,%
1141,Large Spring Rolls,,7.50,8.00,0.51,%,60.00,0.44,%
1142,Jungle Curry,,19.00,10.00,0.64,%,188.50,1.38,%
1144,Vege Briyni,,12.50,3.00,0.19,%,39.00,0.29,%
1146,Delivery,,6.00,2.00,0.13,%,12.00,0.09,%
1147,Chilli Chicken,,16.50,3.00,0.19,%,52.00,0.38,%
1149,Paper Carry Bag,,0.15,27.00,1.74,%,4.05,0.03,%
1150,take away containers,,5.00,3.00,0.19,%,5.50,0.04,%
1151,Reuserble Bag,,0.10,65.00,4.18,%,6.50,0.05,%
6014,With spinach,,1.00,2.00,0.13,%,2.00,0.01,%
6018,Extra Garlic,Per naan,0.50,1.00,0.06,%,0.50,0.00,%
6021,Extra Cashews,,2.00,2.00,0.13,%,4.00,0.03,%
Total,"1,556.00","13,634.16",,,,,,,
