Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.75,22.00,1.56,%,152.08,1.22,%
1001,Large Samosas,,6.75,15.00,1.06,%,104.25,0.84,%
1002, Samosas - Vege,,7.50,12.00,0.85,%,90.00,0.72,%
1003,Mini Spring Rolls,,7.50,11.00,0.78,%,82.50,0.66,%
1004, Curry Samosas,,5.50,2.00,0.14,%,11.00,0.09,%
1005,Onion Bhajia,,6.50,31.00,2.20,%,212.50,1.71,%
1006,chicken sticks,,9.50,13.00,0.92,%,119.50,0.96,%
1008,chicken strips,,8.50,9.00,0.64,%,79.50,0.64,%
1009,Butter Chicken,,17.00,137.00,9.72,%,"2,353.00",18.90,%
1010,Madras Chicken,,18.25,9.00,0.64,%,152.25,1.22,%
1011,Chicken Korma,,16.50,23.00,1.63,%,389.50,3.13,%
1012,CH Tikka Masala,,16.50,15.00,1.06,%,255.50,2.05,%
1013,Chicken Vindaloo,,18.50,3.00,0.21,%,53.50,0.43,%
1014, Mustard Chicken,,16.50,13.00,0.92,%,222.50,1.79,%
1015,Chk In Coconut,,16.50,5.00,0.35,%,86.50,0.69,%
1016,Chicken Jalfrezi,,16.50,2.00,0.14,%,33.00,0.27,%
1017,Chefs SP Chicken.,,16.50,6.00,0.43,%,103.00,0.83,%
1018,Kukulmas Curry,,16.50,6.00,0.43,%,103.00,0.83,%
1019,Rogan Josh,,17.50,18.00,1.28,%,323.00,2.59,%
1020,Palak Gosht,,17.50,4.00,0.28,%,74.00,0.59,%
1021,Madras Lamb,,19.50,6.00,0.43,%,111.00,0.89,%
1022, Lamb Korma,,17.50,19.00,1.35,%,334.50,2.69,%
1023,Lamb Vindaloo,,17.50,8.00,0.57,%,140.00,1.12,%
1024,Chefs SP Lamb,,17.50,9.00,0.64,%,165.50,1.33,%
1025,Lamb Masala,,17.50,5.00,0.35,%,89.50,0.72,%
1026,Beef Vindaloo,,16.50,11.00,0.78,%,181.50,1.46,%
1027,Beef Jalfrezi,,16.50,2.00,0.14,%,35.00,0.28,%
1028,Madras Beef,,16.50,9.00,0.64,%,150.50,1.21,%
1030,Beef Korma,,16.50,11.00,0.78,%,183.50,1.47,%
1031,Chefs Sp beef,,16.50,4.00,0.28,%,68.00,0.55,%
1032,Chefs SP Prawn.,,18.00,4.00,0.28,%,80.00,0.64,%
1033,Mixed Seafood,,19.00,2.00,0.14,%,38.00,0.31,%
1034,K Praw N Coconut,,21.00,7.00,0.50,%,143.00,1.15,%
1035,Spicy King Prawn,,19.00,2.00,0.14,%,40.00,0.32,%
1036,Prawn Vindaloo,,19.00,2.00,0.14,%,40.00,0.32,%
1037,Madras Prawn,,19.00,2.00,0.14,%,40.00,0.32,%
1038,Fish in Coconut,,18.00,4.00,0.28,%,81.00,0.65,%
1039,Chefs SP fish,,18.00,2.00,0.14,%,39.00,0.31,%
1040,Vege Korma,,14.50,12.00,0.85,%,175.00,1.41,%
1041, Potato Bhaji,,14.50,4.00,0.28,%,58.00,0.47,%
1042, Aloo Mattar,,14.50,2.00,0.14,%,29.00,0.23,%
1043, Channa Masala,,14.50,3.00,0.21,%,44.50,0.36,%
1044,Devilled Potato,,14.50,7.00,0.50,%,102.50,0.82,%
1045,Paneer Masala,,15.50,2.00,0.14,%,31.00,0.25,%
1046, Palak Paneer,,16.00,6.00,0.43,%,96.50,0.78,%
1047,Butter Paneer,,15.50,3.00,0.21,%,47.50,0.38,%
1048,Cabbage/Potato,,14.50,7.00,0.50,%,103.50,0.83,%
1049,Devilled Cabbage,,14.00,3.00,0.21,%,46.00,0.37,%
1050,Pumpkin,,14.50,4.00,0.28,%,60.00,0.48,%
1051, Dhal,,14.50,10.00,0.71,%,146.00,1.17,%
1052,Parippu,,15.50,2.00,0.14,%,30.00,0.24,%
1053, Dhal Makhani,,15.00,5.00,0.35,%,75.50,0.61,%
