Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,7.00,20.00,0.89,%,137.00,0.66,%
1001,Large Samosas,,6.75,25.00,1.12,%,178.50,0.86,%
1002, Samosas - Vege,,7.50,16.00,0.71,%,120.00,0.58,%
1003,Mini Spring Rolls,,7.50,10.00,0.45,%,75.00,0.36,%
1004, Curry Samosas,,6.50,15.00,0.67,%,90.50,0.44,%
1005,Onion Bhajia,,7.50,57.00,2.54,%,394.50,1.91,%
1006,chicken sticks,,8.50,4.00,0.18,%,35.00,0.17,%
1007,Tikka Chicken,,14.00,5.00,0.22,%,63.50,0.31,%
1008,chicken strips,,8.50,9.00,0.40,%,81.50,0.39,%
1009,Butter Chicken,,17.00,204.00,9.10,%,"3,544.00",17.14,%
1010,Madras Chicken,,18.50,17.00,0.76,%,300.50,1.45,%
1011,Chicken Korma,,16.50,30.00,1.34,%,519.00,2.51,%
1012,CH Tikka Masala,,16.50,19.00,0.85,%,333.50,1.61,%
1013,Chicken Vindaloo,,18.50,9.00,0.40,%,158.50,0.77,%
1014, Mustard Chicken,,16.50,20.00,0.89,%,348.00,1.68,%
1015,Chk In Coconut,,16.50,4.00,0.18,%,66.00,0.32,%
1016,Chicken Jalfrezi,,16.50,8.00,0.36,%,138.00,0.67,%
1017,Chefs SP Chicken.,,16.50,10.00,0.45,%,171.00,0.83,%
1018,Kukulmas Curry,,16.50,16.00,0.71,%,276.00,1.33,%
1019,Rogan Josh,,19.50,26.00,1.16,%,471.00,2.28,%
1020,Palak Gosht,,17.50,9.00,0.40,%,159.50,0.77,%
1021,Madras Lamb,,17.50,6.00,0.27,%,109.00,0.53,%
1022, Lamb Korma,,17.50,36.00,1.61,%,648.00,3.13,%
1023,Lamb Vindaloo,,17.50,7.00,0.31,%,126.50,0.61,%
1024,Chefs SP Lamb,,17.50,13.00,0.58,%,233.50,1.13,%
1025,Lamb Masala,,17.50,12.00,0.54,%,218.00,1.05,%
1026,Beef Vindaloo,,16.50,26.00,1.16,%,445.00,2.15,%
1027,Beef Jalfrezi,,16.50,5.00,0.22,%,84.50,0.41,%
1028,Madras Beef,,16.50,15.00,0.67,%,253.50,1.23,%
1029,Moghlai beef,,18.50,8.00,0.36,%,144.00,0.70,%
1030,Beef Korma,,16.50,10.00,0.45,%,169.00,0.82,%
1031,Chefs Sp beef,,16.50,16.00,0.71,%,274.00,1.33,%
1032,Chefs SP Prawn.,,18.00,5.00,0.22,%,102.00,0.49,%
1033,Mixed Seafood,,21.00,11.00,0.49,%,221.00,1.07,%
1034,K Praw N Coconut,,19.00,6.00,0.27,%,120.00,0.58,%
1035,Spicy King Prawn,,19.00,9.00,0.40,%,175.00,0.85,%
1036,Prawn Vindaloo,,21.00,3.00,0.13,%,61.00,0.29,%
1037,Madras Prawn,,21.00,2.00,0.09,%,40.00,0.19,%
1038,Fish in Coconut,,18.00,4.00,0.18,%,75.00,0.36,%
1039,Chefs SP fish,,21.00,1.00,0.04,%,21.00,0.10,%
1040,Vege Korma,,14.50,19.00,0.85,%,279.50,1.35,%
1041, Potato Bhaji,,14.50,6.00,0.27,%,87.00,0.42,%
1042, Aloo Mattar,,14.50,4.00,0.18,%,60.00,0.29,%
1043, Channa Masala,,14.50,3.00,0.13,%,44.50,0.22,%
1044,Devilled Potato,,14.50,5.00,0.22,%,72.50,0.35,%
1045,Paneer Masala,,15.50,13.00,0.58,%,204.50,0.99,%
1046, Palak Paneer,,16.00,15.00,0.67,%,243.00,1.18,%
1047,Butter Paneer,,16.50,7.00,0.31,%,111.50,0.54,%
1048,Cabbage/Potato,,14.50,6.00,0.27,%,93.00,0.45,%
1049,Devilled Cabbage,,16.00,1.00,0.04,%,16.00,0.08,%
1050,Pumpkin,,14.50,5.00,0.22,%,72.50,0.35,%
1051, Dhal,,14.50,19.00,0.85,%,278.50,1.35,%
1052,Parippu,,15.50,6.00,0.27,%,93.00,0.45,%
1053, Dhal Makhani,,15.50,6.00,0.27,%,91.50,0.44,%
1054,Green Bean Garlic,,15.50,8.00,0.36,%,119.00,0.58,%
1055, Potato Masala,,14.50,6.00,0.27,%,88.00,0.43,%
1056, Potato Curry,,14.50,7.00,0.31,%,102.50,0.50,%
1057,Vege Butter Chick,,16.50,16.00,0.71,%,252.00,1.22,%
1058,Veg Chick Vinloo,,15.50,4.00,0.18,%,64.00,0.31,%
1059,Vege St Fry Chick,,15.50,5.00,0.22,%,78.50,0.38,%
1062, Pepper Lamb,,17.50,1.00,0.04,%,17.50,0.08,%
1064, Yellow Rice Medium,,4.50,45.00,2.01,%,175.50,0.85,%
1065, White Rice Medium,,4.00,38.00,1.70,%,137.75,0.67,%
1066, Pulao,,8.00,15.00,0.67,%,123.00,0.59,%
1067, Chicken Biryani,,15.50,33.00,1.47,%,494.50,2.39,%
1068, Lamb Biryani,,15.00,19.00,0.85,%,287.00,1.39,%
1069, Beef Biryani,,15.00,4.00,0.18,%,60.00,0.29,%
1070,Special Fried Rice,,15.50,7.00,0.31,%,106.00,0.51,%
1071,Plain Naan,,4.00,170.00,7.59,%,705.00,3.41,%
1071,Plain Naan,,4.00,3.00,0.13,%,12.00,0.06,%
1072, Garlic Naan,,4.50,253.00,11.29,%,"1,164.50",5.63,%
1074, Chapattis,,1.50,57.00,2.54,%,85.50,0.41,%
1075, Parathas,,2.00,51.00,2.28,%,111.75,0.54,%
1076, Pappodums x 4,,2.75,89.00,3.97,%,252.00,1.22,%
1077,Raita,,2.50,45.00,2.01,%,114.00,0.55,%
1078, Achar,,2.50,4.00,0.18,%,11.50,0.06,%
1079, Mango Chutney,,2.50,8.00,0.36,%,20.00,0.10,%
1080, Laccha,,7.00,5.00,0.22,%,39.00,0.19,%
1081, Almond Kulfi,,4.50,1.00,0.04,%,4.50,0.02,%
1082, Mango Kulfi,,4.00,4.00,0.18,%,17.00,0.08,%
1083, Curd n Honey,,7.00,1.00,0.04,%,7.00,0.03,%
1085, Plain/Salted Lassi,,5.50,1.00,0.04,%,5.50,0.03,%
1086,Sweet Mango Lassi,,4.50,26.00,1.16,%,137.00,0.66,%
1087,Mango Nectar,,7.00,2.00,0.09,%,14.00,0.07,%
1089,Chili Naan,,5.00,9.00,0.40,%,44.50,0.22,%
1090,Yellow Rice Large,,4.50,104.00,4.64,%,508.00,2.46,%
1091, White Rice Large,,4.00,56.00,2.50,%,238.05,1.15,%
1093, Devilled Chicken,,19.00,1.00,0.04,%,19.00,0.09,%
1094, Devilled Beff,,16.50,1.00,0.04,%,16.50,0.08,%
1095,Chilli Squid,,19.00,1.00,0.04,%,19.00,0.09,%
1097,Cheese Nann,,5.00,14.00,0.62,%,71.00,0.34,%
1100,Egg plant curry,,18.00,5.00,0.22,%,82.50,0.40,%
1102,Cream Soda Glass Bt,,3.50,1.00,0.04,%,3.50,0.02,%
1104,Chicken Palandi,,18.50,2.00,0.09,%,37.00,0.18,%
1105,Beef Kufta,,18.50,5.00,0.22,%,88.50,0.43,%
1106,Goan Fish Curry,,21.00,8.00,0.36,%,156.00,0.75,%
1107,Fried Noodles,,11.00,1.00,0.04,%,11.00,0.05,%
1108,Can drinks,,2.50,45.00,2.01,%,112.50,0.54,%
1109,Glass Bottle 300ml,,3.50,14.00,0.62,%,49.00,0.24,%
1112,Sparking water,,4.00,1.00,0.04,%,4.00,0.02,%
1113,Vege Chk MASALA,,15.50,3.00,0.13,%,46.50,0.22,%
1114,Vege Chk JALFREZI,,16.50,1.00,0.04,%,16.50,0.08,%
1115,Bottled Water,,2.00,1.00,0.04,%,2.00,0.01,%
1117,upgrade ONE SIZE,,1.50,26.00,1.16,%,39.00,0.19,%
1118,upgrade TWO SIZES,,2.75,8.00,0.36,%,22.00,0.11,%
1119,Cut Chilli,,1.50,4.00,0.18,%,6.00,0.03,%
1120,TEA Per Person,,4.50,9.00,0.40,%,40.50,0.20,%
1121,Cup Of Coffee,,4.50,13.00,0.58,%,58.50,0.28,%
1122, Devilled Lamb,,17.50,2.00,0.09,%,35.00,0.17,%
1123, Devilled K Prawn,,19.00,1.00,0.04,%,19.00,0.09,%
1126,1000 Spic SFY Chicken,,16.50,12.00,0.54,%,203.00,0.98,%
1127, 1000 Spic SRY Beef,,16.50,2.00,0.09,%,33.00,0.16,%
1128, 1000 Spic Lamb,,19.50,1.00,0.04,%,19.50,0.09,%
1129,1000 Spic K Prawns,,21.00,5.00,0.22,%,101.00,0.49,%
1130,BYO Per Head,,1.50,52.00,2.32,%,100.50,0.49,%
1131, Buchet of Ice,,1.50,2.00,0.09,%,7.50,0.04,%
1132,Goat Curry,,22.00,18.00,0.80,%,371.50,1.80,%
1135,Jeera Rice Med,,5.50,5.00,0.22,%,27.50,0.13,%
1137,Egg Paratha,,3.00,8.00,0.36,%,23.50,0.11,%
1139,Butter Cashew Masala,,18.00,2.00,0.09,%,36.00,0.17,%
1140,Green Bean n Potato,,15.50,2.00,0.09,%,31.00,0.15,%
1141,Large Spring Rolls,,7.50,1.00,0.04,%,7.50,0.04,%
1142,Jungle Curry,,19.00,11.00,0.49,%,204.50,0.99,%
6014,With spinach,,1.00,4.00,0.18,%,4.00,0.02,%
6021,Extra Cashews,,2.00,8.00,0.36,%,16.00,0.08,%
6033,With Chicken,,15.00,1.00,0.04,%,15.00,0.07,%
Total,"2,241.00","20,679.05",,,,,,,
