Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.75,23.00,1.52,%,156.75,1.10,%
1001,Large Samosas,,6.75,24.00,1.59,%,165.00,1.16,%
1002, Samosas - Vege,,8.50,13.00,0.86,%,98.50,0.69,%
1003,Mini Spring Rolls,,7.50,13.00,0.86,%,97.50,0.68,%
1004, Curry Samosas,,5.50,8.00,0.53,%,47.00,0.33,%
1005,Onion Bhajia,,6.50,37.00,2.45,%,252.50,1.77,%
1006,chicken sticks,,8.50,5.00,0.33,%,48.00,0.34,%
1007,Tikka Chicken,,14.00,1.00,0.07,%,14.00,0.10,%
1008,chicken strips,,9.50,8.00,0.53,%,73.00,0.51,%
1009,Butter Chicken,,17.00,146.00,9.67,%,"2,554.50",17.95,%
1010,Madras Chicken,,16.50,14.00,0.93,%,235.00,1.65,%
1011,Chicken Korma,,16.50,22.00,1.46,%,376.75,2.65,%
1012,CH Tikka Masala,,16.50,27.00,1.79,%,459.50,3.23,%
1013,Chicken Vindaloo,,16.50,4.00,0.26,%,66.00,0.46,%
1014, Mustard Chicken,,16.50,17.00,1.13,%,296.50,2.08,%
1015,Chk In Coconut,,18.50,5.00,0.33,%,88.50,0.62,%
1016,Chicken Jalfrezi,,16.50,3.00,0.20,%,49.50,0.35,%
1017,Chefs SP Chicken.,,16.50,8.00,0.53,%,134.00,0.94,%
1018,Kukulmas Curry,,18.50,2.00,0.13,%,37.00,0.26,%
1019,Rogan Josh,,19.50,29.00,1.92,%,517.50,3.64,%
1020,Palak Gosht,,19.50,6.00,0.40,%,115.00,0.81,%
1021,Madras Lamb,,17.50,3.00,0.20,%,54.50,0.38,%
1022, Lamb Korma,,17.50,21.00,1.39,%,375.50,2.64,%
1023,Lamb Vindaloo,,17.50,2.00,0.13,%,35.00,0.25,%
1024,Chefs SP Lamb,,19.50,8.00,0.53,%,148.00,1.04,%
1025,Lamb Masala,,17.50,4.00,0.26,%,72.00,0.51,%
1026,Beef Vindaloo,,18.50,13.00,0.86,%,218.50,1.53,%
1027,Beef Jalfrezi,,18.50,4.00,0.26,%,74.00,0.52,%
1028,Madras Beef,,16.50,15.00,0.99,%,251.50,1.77,%
1029,Moghlai beef,,16.50,3.00,0.20,%,53.50,0.38,%
1030,Beef Korma,,16.50,14.00,0.93,%,249.00,1.75,%
1031,Chefs Sp beef,,18.50,7.00,0.46,%,129.50,0.91,%
1032,Chefs SP Prawn.,,22.00,4.00,0.26,%,88.00,0.62,%
1033,Mixed Seafood,,21.00,5.00,0.33,%,101.00,0.71,%
1034,K Praw N Coconut,,19.00,7.00,0.46,%,137.00,0.96,%
1035,Spicy King Prawn,,21.00,2.00,0.13,%,42.00,0.30,%
1037,Madras Prawn,,21.00,1.00,0.07,%,21.00,0.15,%
1038,Fish in Coconut,,21.00,3.00,0.20,%,60.00,0.42,%
1039,Chefs SP fish,,18.00,6.00,0.40,%,123.00,0.86,%
1040,Vege Korma,,15.50,11.00,0.73,%,161.50,1.13,%
1041, Potato Bhaji,,14.50,2.00,0.13,%,30.00,0.21,%
1042, Aloo Mattar,,15.50,3.00,0.20,%,44.50,0.31,%
1043, Channa Masala,,14.50,3.00,0.20,%,43.50,0.31,%
1044,Devilled Potato,,14.50,5.00,0.33,%,72.50,0.51,%
1045,Paneer Masala,,15.50,2.00,0.13,%,31.00,0.22,%
1046, Palak Paneer,,16.00,12.00,0.79,%,194.00,1.36,%
1047,Butter Paneer,,15.50,2.00,0.13,%,31.00,0.22,%
1048,Cabbage/Potato,,14.50,4.00,0.26,%,60.00,0.42,%
1049,Devilled Cabbage,,14.00,1.00,0.07,%,14.00,0.10,%
1050,Pumpkin,,16.50,6.00,0.40,%,91.00,0.64,%
1051, Dhal,,15.50,15.00,0.99,%,219.50,1.54,%
