Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,7.00,15.00,0.98,%,102.00,0.79,%
1001,Large Samosas,,8.50,12.00,0.78,%,88.00,0.68,%
1002, Samosas - Vege,,7.50,10.00,0.65,%,75.00,0.58,%
1003,Mini Spring Rolls,,7.50,9.00,0.59,%,67.50,0.52,%
1004, Curry Samosas,,5.50,5.00,0.33,%,28.50,0.22,%
1005,Onion Bhajia,,6.50,46.00,3.01,%,313.00,2.41,%
1006,chicken sticks,,8.50,6.00,0.39,%,55.00,0.42,%
1007,Tikka Chicken,,14.00,3.00,0.20,%,44.00,0.34,%
1008,chicken strips,,12.50,11.00,0.72,%,117.50,0.91,%
1009,Butter Chicken,,17.00,103.00,6.74,%,"1,779.00",13.71,%
1010,Madras Chicken,,16.50,11.00,0.72,%,185.50,1.43,%
1011,Chicken Korma,,16.50,24.00,1.57,%,406.00,3.13,%
1012,CH Tikka Masala,,16.50,19.00,1.24,%,315.50,2.43,%
1013,Chicken Vindaloo,,16.50,7.00,0.46,%,115.50,0.89,%
1014, Mustard Chicken,,18.50,12.00,0.78,%,214.00,1.65,%
1015,Chk In Coconut,,16.50,4.00,0.26,%,68.00,0.52,%
1016,Chicken Jalfrezi,,18.50,5.00,0.33,%,84.50,0.65,%
1017,Chefs SP Chicken.,,18.50,5.00,0.33,%,88.50,0.68,%
1018,Kukulmas Curry,,18.50,10.00,0.65,%,169.00,1.30,%
1019,Rogan Josh,,17.50,20.00,1.31,%,359.00,2.77,%
1020,Palak Gosht,,17.50,3.00,0.20,%,52.50,0.40,%
1021,Madras Lamb,,17.50,8.00,0.52,%,149.00,1.15,%
1022, Lamb Korma,,17.50,17.00,1.11,%,318.50,2.45,%
1023,Lamb Vindaloo,,19.50,3.00,0.20,%,54.50,0.42,%
1024,Chefs SP Lamb,,20.50,10.00,0.65,%,187.00,1.44,%
1025,Lamb Masala,,17.50,3.00,0.20,%,55.50,0.43,%
1026,Beef Vindaloo,,16.50,7.00,0.46,%,117.50,0.91,%
1027,Beef Jalfrezi,,16.50,3.00,0.20,%,49.50,0.38,%
1028,Madras Beef,,16.50,6.00,0.39,%,99.00,0.76,%
1029,Moghlai beef,,16.50,3.00,0.20,%,51.50,0.40,%
1030,Beef Korma,,16.50,5.00,0.33,%,86.50,0.67,%
1031,Chefs Sp beef,,16.50,7.00,0.46,%,119.50,0.92,%
1032,Chefs SP Prawn.,,18.00,1.00,0.07,%,18.00,0.14,%
1033,Mixed Seafood,,23.00,5.00,0.33,%,103.00,0.79,%
1034,K Praw N Coconut,,19.00,2.00,0.13,%,38.00,0.29,%
1035,Spicy King Prawn,,19.00,4.00,0.26,%,80.00,0.62,%
1037,Madras Prawn,,21.00,1.00,0.07,%,21.00,0.16,%
1038,Fish in Coconut,,22.00,3.00,0.20,%,62.00,0.48,%
1040,Vege Korma,,14.50,8.00,0.52,%,120.00,0.92,%
1041, Potato Bhaji,,15.50,11.00,0.72,%,165.50,1.28,%
1042, Aloo Mattar,,14.50,4.00,0.26,%,59.00,0.45,%
1043, Channa Masala,,16.50,3.00,0.20,%,45.50,0.35,%
1044,Devilled Potato,,14.50,2.00,0.13,%,29.00,0.22,%
1045,Paneer Masala,,15.50,10.00,0.65,%,157.00,1.21,%
1046, Palak Paneer,,17.50,6.00,0.39,%,102.00,0.79,%
1047,Butter Paneer,,15.50,7.00,0.46,%,110.50,0.85,%
1048,Cabbage/Potato,,14.50,1.00,0.07,%,14.50,0.11,%
1049,Devilled Cabbage,,16.00,2.00,0.13,%,30.00,0.23,%
1051, Dhal,,14.50,10.00,0.65,%,147.00,1.13,%
1052,Parippu,,14.50,3.00,0.20,%,43.50,0.34,%
1053, Dhal Makhani,,15.00,3.00,0.20,%,45.00,0.35,%
1054,Green Bean Garlic,,14.50,2.00,0.13,%,29.00,0.22,%
1055, Potato Masala,,15.50,4.00,0.26,%,58.50,0.45,%
1056, Potato Curry,,14.50,2.00,0.13,%,30.00,0.23,%
1057,Vege Butter Chick,,17.50,15.00,0.98,%,234.50,1.81,%
1058,Veg Chick Vinloo,,15.50,2.00,0.13,%,31.00,0.24,%
1059,Vege St Fry Chick,,17.50,3.00,0.20,%,50.50,0.39,%
1060, Pepper Chicken,,16.50,1.00,0.07,%,16.50,0.13,%
1061, Pepper Beef,,19.00,1.00,0.07,%,19.00,0.15,%
1064, Yellow Rice Medium,,5.50,25.00,1.64,%,109.50,0.84,%
1065, White Rice Medium,,5.00,13.00,0.85,%,54.50,0.42,%
1066, Pulao,,8.00,7.00,0.46,%,57.00,0.44,%
1067, Chicken Biryani,,17.50,23.00,1.50,%,355.00,2.74,%
1068, Lamb Biryani,,15.00,3.00,0.20,%,51.00,0.39,%
1069, Beef Biryani,,15.00,6.00,0.39,%,90.00,0.69,%
1070,Special Fried Rice,,17.50,37.00,2.42,%,585.00,4.51,%
1071,Plain Naan,,4.50,85.00,5.56,%,351.00,2.71,%
1072, Garlic Naan,,4.50,164.00,10.73,%,745.25,5.74,%
1074, Chapattis,,1.50,29.00,1.90,%,43.50,0.34,%
1075, Parathas,,2.25,39.00,2.55,%,79.50,0.61,%
1076, Pappodums x 4,,3.00,58.00,3.79,%,164.25,1.27,%
1077,Raita,,2.50,23.00,1.50,%,57.50,0.44,%
1078, Achar,,2.50,1.00,0.07,%,2.50,0.02,%
1079, Mango Chutney,,2.50,8.00,0.52,%,20.00,0.15,%
1080, Laccha,,8.00,1.00,0.07,%,8.00,0.06,%
1081, Almond Kulfi,,4.50,1.00,0.07,%,4.50,0.03,%
1082, Mango Kulfi,,4.50,3.00,0.20,%,13.50,0.10,%
1084,Ice Cream,,5.00,1.00,0.07,%,5.00,0.04,%
1085, Plain/Salted Lassi,,5.50,1.00,0.07,%,5.50,0.04,%
1086,Sweet Mango Lassi,,6.50,10.00,0.65,%,62.00,0.48,%
1088, Falooda,,7.00,2.00,0.13,%,14.00,0.11,%
1089,Chili Naan,,4.50,8.00,0.52,%,38.00,0.29,%
1090,Yellow Rice Large,,4.50,68.00,4.45,%,338.00,2.61,%
1091, White Rice Large,,4.25,33.00,2.16,%,145.50,1.12,%
1092, Pepper Squid,,21.00,1.00,0.07,%,21.00,0.16,%
1093, Devilled Chicken,,16.50,6.00,0.39,%,101.50,0.78,%
1094, Devilled Beff,,16.50,1.00,0.07,%,16.50,0.13,%
1097,Cheese Nann,,4.50,10.00,0.65,%,46.50,0.36,%
1100,Egg plant curry,,15.50,4.00,0.26,%,64.50,0.50,%
1101,Ginger Beer,,3.00,6.00,0.39,%,18.00,0.14,%
1102,Cream Soda Glass Bt,,4.50,1.00,0.07,%,4.50,0.03,%
1103,Boiled Channa,,10.00,2.00,0.13,%,18.50,0.14,%
1104,Chicken Palandi,,18.50,2.00,0.13,%,37.00,0.29,%
1105,Beef Kufta,,18.50,1.00,0.07,%,18.50,0.14,%
1106,Goan Fish Curry,,18.00,3.00,0.20,%,58.00,0.45,%
1107,Fried Noodles,,14.00,13.00,0.85,%,161.00,1.24,%
1108,Can drinks,,2.50,26.00,1.70,%,65.00,0.50,%
1109,Glass Bottle 300ml,,4.50,1.00,0.07,%,4.50,0.03,%
1110,1.25L drink,,5.00,2.00,0.13,%,10.00,0.08,%
1114,Vege Chk JALFREZI,,15.50,1.00,0.07,%,15.50,0.12,%
1115,Bottled Water,,2.00,2.00,0.13,%,4.00,0.03,%
1117,upgrade ONE SIZE,,1.50,4.00,0.26,%,6.00,0.05,%
1118,upgrade TWO SIZES,,2.75,6.00,0.39,%,16.50,0.13,%
1119,Cut Chilli,,1.50,1.00,0.07,%,1.50,0.01,%
1120,TEA Per Person,,4.50,6.00,0.39,%,27.00,0.21,%
1123, Devilled K Prawn,,19.00,1.00,0.07,%,19.00,0.15,%
1124, Devilled Fish,,20.00,1.00,0.07,%,20.00,0.15,%
1126,1000 Spic SFY Chicken,,16.50,2.00,0.13,%,35.50,0.27,%
1127, 1000 Spic SRY Beef,,16.50,1.00,0.07,%,16.50,0.13,%
1130,BYO Per Head,,1.50,22.00,1.44,%,33.00,0.25,%
1131, Buchet of Ice,,1.50,4.00,0.26,%,6.00,0.05,%
1132,Goat Curry,,18.50,24.00,1.57,%,465.00,3.58,%
1133,Goan Prawn Curry,,19.00,1.00,0.07,%,19.00,0.15,%
1136,Jeera Rice Large,,7.50,2.00,0.13,%,15.00,0.12,%
1137,Egg Paratha,,3.00,3.00,0.20,%,8.00,0.06,%
1139,Butter Cashew Masala,,17.00,2.00,0.13,%,34.00,0.26,%
1140,Green Bean n Potato,,14.50,4.00,0.26,%,60.00,0.46,%
1141,Large Spring Rolls,,9.50,3.00,0.20,%,28.50,0.22,%
1142,Jungle Curry,,17.50,3.00,0.20,%,52.50,0.40,%
1143,Sour Fish,,18.00,1.00,0.07,%,18.00,0.14,%
1144,Vege Briyni,,15.00,2.00,0.13,%,30.00,0.23,%
1145,Vege Fried Rice,,12.50,2.00,0.13,%,25.00,0.19,%
1147,Chilli Chicken,,16.50,1.00,0.07,%,16.50,0.13,%
1149,Paper Carry Bag,,0.30,153.00,10.01,%,45.90,0.35,%
1150,take away containers,,0.25,2.00,0.13,%,0.50,0.00,%
1151,Reuserble Bag,,0.10,10.00,0.65,%,1.00,0.01,%
6033,With Chicken,,4.00,6.00,0.39,%,24.00,0.18,%
6034,With Beef,,4.00,3.00,0.20,%,12.00,0.09,%
Total,"1,529.00","12,974.90",,,,,,,
